"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"IES","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106
001","","22","2.864","9.1","13.6","22.7","50.0","4.5",".",".",".",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113
001","","227","3.489","33.9","37.4","20.7","5.7","1.3",".",".","0.4",".",".",".",".",".",".","0.4","."
"","120
001","","28","3.241","25.0","21.4","32.1","10.7","7.1",".",".",".",".",".",".",".",".",".","3.6","."
"","002
120","","12","3.042","8.3","41.7","25.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","Course Total","","40","3.179","20.0","27.5","30.0","12.5","5.0","2.5",".",".",".",".",".",".",".",".","2.5","."
"","121
001","","20","3.050","25.0","20.0","20.0","10.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","121
002","","11","2.950",".","27.3","36.4","18.2","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","Course Total","","31","3.017","16.1","22.6","25.8","12.9","19.4",".",".","3.2",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126
001","","42","3.439","35.7","31.0","21.4","2.4","7.1",".",".","2.4",".",".",".",".",".",".",".","."
"","127
001","","24","2.979","29.2",".","29.2","20.8","20.8",".",".",".",".",".",".",".",".",".",".","."
"","127
002","","22","3.000","31.8","9.1","13.6","18.2","27.3",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","Course Total","","46","2.989","30.4","4.3","21.7","19.6","23.9",".",".",".",".",".",".",".",".",".",".","."
"Resources and People","139
001","","28","2.964","21.4","17.9","14.3","25.0","21.4",".",".",".",".",".",".",".",".",".",".","."
"","171
001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
092","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","Course Total","","11","3.560","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Insects and Human Culture","201
001","","9","2.722","22.2","22.2","11.1","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301
001","","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302
001","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303
001","","6","3.000",".","33.3","16.7","33.3",".",".",".",".",".",".",".",".",".","16.7",".","."
"Remote Sensng Vis Image&GIS","304
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315
001","","19","3.395","52.6","5.3","26.3",".","15.8",".",".",".",".",".",".",".",".",".",".","."
"Soils and Envrnmtl Quality","324
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Analysis of Physical Envr","325
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","339
001","","54","2.877","22.2","11.1","24.1","24.1","7.4","7.4","1.9","1.9",".",".",".",".",".",".",".","."
"","339
002","","20","2.425","15.0","5.0","10.0","30.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"Environmental Conservation","Course Total","","74","2.753","20.3","9.5","20.3","25.7","12.2","8.1","2.7","1.4",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","","25","3.171","20.0","36.0","32.0","8.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Extinction of Species","360
001","","17","3.118","29.4","11.8","35.3","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377
001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Environ Studies","400
002","","8","3.214","37.5",".","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Ethics","441
001","","30","3.375","16.7","40.0","33.3","3.3",".",".",".",".","3.3",".",".",".",".","3.3",".","."
"Amer Environmental History","460
001","","22","3.300","22.7","31.8","27.3","4.5",".","4.5",".","4.5",".",".",".",".","4.5",".",".","."
"Air Pollution&Human Health","502
001","","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
001","","20","3.619","35.0","55.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
002","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","Course Total","","28","3.620","35.7","53.6","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aesthetic Assessmnt-Landscp","654
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 145 of 375",""
