"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"MED SC-M","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","6","3.455","50.0",".",".",".","16.7","",".","",".","33.3","",".",".","",".","",".","",".",".",".","."
"Undergraduates","7","3.571","57.1",".",".",".","14.3","",".","",".","28.6","",".",".","",".","",".","",".",".",".","."
"Graduate","1","2.000",".",".",".",".","100.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","143","3.417","2.1",".","1.4",".",".","",".","",".","96.5","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","852","3.586","61.9","0.1","34.4",".","3.2","",".","",".","0.1","",".",".","",".","",".","",".",".",".","0.4"
"Prof Yr 3","5","3.571","40.0",".","20.0",".",".","",".","",".","40.0","",".",".","",".","",".","",".",".",".","."
"Professionals","1000","3.585","53.2","0.1","29.6",".","2.7","",".","",".","14.1","",".",".","",".","",".","",".",".",".","0.3"
