"TERM : 0992","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 1998-99","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUD Section","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","","",""
"L I S
Dept. Total
544","444","3.805","66.7","25.9","5.2",".","",".","",".","0.2","1.6","",".",".","",".","",".","0.2","0.2",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","3","2.500","33.3","33.3",".",".","",".","",".","33.3",".","",".",".","",".","",".",".",".",".","."
"Senior","13","3.731","61.5","23.1","15.4",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","16","3.500","56.3","25.0","12.5",".","",".","",".","6.3",".","",".",".","",".","",".",".",".",".","."
"Special","24","3.659","37.5","45.8","8.3",".","",".","",".",".","4.2","",".",".","",".","",".","4.2",".",".","."
"Graduate","404","3.826","68.8","24.8","4.7",".","",".","",".",".","1.5","",".",".","",".","",".",".","0.2",".","."
"Dept. Total","444","3.805","66.7","25.9","5.2",".","",".","",".","0.2","1.6","",".",".","",".","",".","0.2","0.2",".","."
