"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","146","2.901","13.7","23.3","24.7","17.1","15.8","5.5",".",".",".",".",".",".",".",".",".","."
"","301
002","67","3.910","82.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","213","3.218","35.2","21.6","16.9","11.7","10.8","3.8",".",".",".",".",".",".",".",".",".","."
"","001
320","139","3.209","22.3","28.1","27.3","15.1","6.5","0.7",".",".",".",".",".",".",".",".",".","."
"","320
002","108","3.292","38.0","16.7","29.6","6.5","5.6","1.9","1.9",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","247","3.245","29.1","23.1","28.3","11.3","6.1","1.2","0.8",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","156","3.026","31.4","9.6","27.6","7.7","16.0","5.8","0.6","1.3",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","51","3.706","51.0","39.2","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych","509
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Behav Anal in Classrms","541
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","25","3.580","52.0","32.0","4.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","699
016","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
022","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
711","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
004","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
005","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","27","3.829","81.5","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","12","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment Tech-Schools II","741
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Assessment Techniques","745
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
001","38","3.513","36.8","31.6","28.9","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","760
002","24","3.479","45.8","4.2","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","62","3.500","40.3","21.0","37.1","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro: Dsgn-Ed Experiments","762
001","30","3.783","73.3","13.3","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Cognition&Classrm Learng I","795
001","15","3.958","73.3","6.7",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","840
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844
001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Anal & Design-Ed Rsch","861
001","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Child Development","920
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr in School Psychology","948
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","8","3.538","50.0","12.5","12.5",".",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"","014
990","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","990
016","7","4.000","71.4",".",".",".",".",".",".","14.3",".",".",".","14.3",".",".",".","."
"","990
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 92 of 375"
