"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Spatial Measurements","251","001","","40","3.171","10.0","22.5","55.0","5.0","2.5",".",".","2.5",".",".",".",".",".","2.5",".","."
"Independent Study","299","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301","001","","35","3.412","45.7","20.0","17.1","2.9","8.6","2.9",".","2.9",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302","001","","29","3.500","37.9","31.0","20.7","3.4","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303","001","","18","3.031","11.1","22.2","27.8","16.7","11.1",".",".",".",".",".",".",".",".","11.1",".","."
"Remote Sensng Vis Image&GIS","304","001","","7","3.000","28.6","28.6",".",".","14.3","14.3",".",".",".",".",".",".",".","14.3",".","."
"Fundmnt Comput-Land Inf Sys","307","001","","13","3.000",".",".","84.6",".",".",".",".",".",".",".",".",".",".","15.4",".","."
"Spatl Framewk-Land Info Sys","308","001","","9","3.063",".","11.1","77.8",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Fluid Mechanics","310","001","","53","2.321","5.7","5.7","17.0","20.8","39.6","7.5","3.8",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","46","3.011","19.6","21.7","15.2","28.3","15.2",".",".",".",".",".",".",".",".",".",".","."
"Hydrology","315","001","","27","3.074","29.6","22.2","3.7","22.2","22.2",".",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","95","2.819","20.0","3.2","34.7","11.6","25.3","4.2",".","1.1",".",".",".",".",".",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","326","001","","12","3.545","33.3","33.3","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","52","2.673","19.2","7.7","19.2","15.4","30.8","5.8","1.9",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","45","2.932","26.7","4.4","37.8","4.4","15.6","8.9",".","2.2",".",".",".",".",".",".",".","."
"Concrete Structures I","347","001","","55","2.709","21.8","7.3","23.6","7.3","30.9","7.3","1.8",".",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","47","3.138","31.9","12.8","36.2","6.4","6.4","4.3","2.1",".",".",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmentl Engineerng Lab","424","001","","8","3.071",".","12.5","75.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Solid&Hazardous Wastes Engr","427","001","","20","3.375","25.0","30.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis II","440","001","","12","3.292","50.0",".","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures II","445","001","","12","3.364","16.7","41.7","25.0","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"","498","001","","48","3.927","91.7","2.1","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","498","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Constructn Project Managmnt","","Course Total","","53","3.875","84.9","1.9","11.3",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Water Chemistry","500","001","","26","3.654","53.8","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Water Analysis-Intermediate","501","001","","19","3.395","21.1","42.1","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Water Anal Intermediate Lab","503","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retaining Structures","531","001","","19","3.313","15.8","31.6","26.3","10.5",".",".",".","15.8",".",".",".",".",".",".",".","."
"Remediation Geotechnics","535","001","","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Airphoto Intrprt-Terrn Eval","555","001","","14","2.962","14.3",".","42.9","35.7",".",".",".",".",".",".",".",".",".","7.1",".","."
"Urban Transport Planning","571","001","","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geometric Dsgn-Transprt Fac","573","001","","17","3.594","29.4","52.9","11.8",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Adv Highway Matl&Constructn","575","001","","15","3.467","33.3","33.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructability Analysis","596","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Hydraulics&Fluid Mech","618","001","","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Special Topics-Envir Engr","629","001","","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
