"DANCE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"","1
001","","21","3.925","81.0","14.3",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","002
1","","11","3.952","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1
003","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
1","","15","3.393","33.3","26.7","20.0","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","","57","3.840","71.9","15.8","5.3","1.8","1.8",".",".","3.5",".",".",".",".",".",".",".","."
"","11
001","","16","4.000","93.8",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","11
002","","20","3.775","90.0",".",".","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"Modern Dance I","Course Total","","36","3.871","91.7",".",".","2.8",".","2.8",".","2.8",".",".",".",".",".",".",".","."
"Modern Dance Technique I","111
001","","21","3.868","66.7","23.8",".",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"Dance Tech for Gen Majors","113
001","","15","3.667","46.7","46.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","12
001","","12","3.455","16.7","50.0","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","002
12","","14","4.000","92.9",".",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Modern Dance II","Course Total","","26","3.750","57.7","23.1","11.5",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","","26","3.865","84.6","3.8","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rhythmic Movement Lab I","144
001","","8","3.500","50.0",".","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","12.5"
"Movemnt as Matl Thru Improv","151
001","","26","3.808","65.4","30.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","167
001","","13","3.308","30.8","46.2","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","002
167","","11","3.273","27.3","27.3","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","Course Total","","24","3.292","29.2","37.5","20.8","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","21
001","","18","3.750","44.4","44.4",".",".",".",".",".","5.6",".",".",".",".",".","5.6",".","."
"","002
21","","17","3.733","41.2","47.1",".",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Ballet I","Course Total","","35","3.742","42.9","45.7",".",".",".",".",".","8.6",".",".",".",".",".","2.9",".","."
"Modern Dance Technique III","211
001","","15","3.667","60.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22
001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance: An Intro Survey","265
001","","24","3.261","25.0","37.5","16.7","4.2","8.3","4.2",".","4.2",".",".",".",".",".",".",".","."
"","31
001","","22","3.452","31.8","36.4","18.2","4.5","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"","31
002","","16","3.409","18.8","25.0","18.8","6.3",".",".",".","31.3",".",".",".",".",".",".",".","."
"Modern Jazz Dance","Course Total","","38","3.438","26.3","31.6","18.4","5.3","2.6",".",".","15.8",".",".",".",".",".",".",".","."
"Modern Dance Technique V","311
001","","13","3.423","30.8","38.5","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique III","325
001","","30","3.931","86.7","6.7","3.3",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Video Desgn-Perf&Visual Art","351
001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Composition II","355
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Creative Dance for Children","371
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","6","3.929","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
001","","42","3.774","40.5","33.3",".",".",".",".",".","26.2",".",".",".",".",".",".",".","."
"","41
002","","48","3.442","20.8","18.8","12.5",".",".",".","2.1","45.8",".",".",".",".",".",".",".","."
"","003
41","","69","3.867","52.2","18.8",".",".",".",".",".","29.0",".",".",".",".",".",".",".","."
"","004
41","","42","3.963","61.9",".","2.4",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"","41
005","","40","3.862","67.5",".",".",".","5.0",".",".","27.5",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 97 of 375"
