"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to East Asian Civ","222
001","","37","3.333","24.3","43.2","16.2","5.4","5.4","2.7",".","","2.7",".","",".",".","",".","",".","",".",".","."
"Senior Thesis","692
013","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"E A STDS
298","Dept. Total","","38","3.338","23.7","44.7","15.8","5.3","5.3","2.6","",".","2.6","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","18","3.167","11.1","55.6","16.7",".","11.1","5.6","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","9","3.389","33.3","33.3","11.1","22.2",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","4","3.625","25.0","75.0",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","4","3.167",".","25.0","50.0",".",".",".","",".","25.0","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","35","3.279","17.1","48.6","17.1","5.7","5.7","2.9","",".","2.9","",".",".","",".","",".","",".",".",".","."
"Special","","","3","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","38","3.338","23.7","44.7","15.8","5.3","5.3","2.6","",".","2.6","",".",".","",".","",".","",".",".",".","."
