"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","106","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","3.438","66.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Math Meth in Physics & Engr","701","001","","12","3.818","58.3","33.3",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"Methods of Applied Math 1","703","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics","709","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Crse in Real Analysis","721","001","","20","3.875","85.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abstract Algebra","741","001","","31","3.548","61.3",".","25.8","12.9",".",".",".",".",".",".",".",".",".",".",".","."
"Matrix Theory","743","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Groups","745","001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology I","751","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differentiable Manifolds","761","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations of Mathematics","770","001","","15","3.467","40.0","26.7","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Recursion Theory","773","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Algebraic Number Theory","811","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Meth of Appld Math","812","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics-Real Analysis","821","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Functional Analysis","825","001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourier Analysis","827","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability","831","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Probability","833","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Algebra","841","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Algebraic Geom","863","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics in Foundations","873","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Algebra","941","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Topology","951","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Number Theory","967","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Foundations of Math","975","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","106","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","110","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 246 of 375",""
