"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"681","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690
Thesis Colloquium","001","","16","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".","6.3",".","6.3"
"691","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","12","4.000","58.3",".",".",".",".",".",".",".",".",".",".","33.3",".",".",".","8.3"
"692","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"698
Directed Study","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.796","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Prosem-S E Asian History","002","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"801
Seminar-Ancient History","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"814
Smr-Hist Eur Dur Reform","001","","14","3.780","71.4","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
