"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Clerkship in Audiology","Course Total","","18","3.807","66.7","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"799","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","57.1",".",".",".",".",".",".","14.3",".",".",".","28.6",".",".",".","."
"801
Acoust,Electroacoust&Calibr","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Anat, Physiol&Psychophysics","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"821
Basic Audiometry","001","","9","3.278","11.1","55.6","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"824
Acoustic-Immittance Measure","001","","10","3.200","10.0","40.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"825
Neurodiagnostic Audiology","001","","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"832
Pediatric Audiology","001","","17","3.412","29.4","29.4","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"840
Lang Probs-Schl Age Chldrn","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"913
Smr-Prob in Voice Disorders","001","","7","3.556","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"940
Lang Pathology-Children","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"942
Lang Pathology-Adults","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","17","3.953","64.7","11.8",".",".",".",".",".","17.6",".",".",".","5.9",".",".",".","."
"999","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","9","4.000","77.8",".",".",".",".",".",".","11.1",".",".",".","11.1",".",".",".","."
