"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","31","3.226","25.8","16.1","38.7","16.1","3.2",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","198","3.444","27.3","44.4","21.2","4.0","0.5","1.5",".",".",".",".",".",".","1.0",".",".","."
"","400
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
008","8","3.882","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
022","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
027","17","3.764","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
029","8","3.886","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
037","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
039","12","3.867","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
045","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
055","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
070","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","93","3.890","79.6","18.3","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","401
070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","440
001","26","3.960","88.5","7.7",".",".",".",".",".",".",".",".",".",".",".","3.8",".","."
"","440
002","21","3.738","57.1","38.1",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","003
440","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
004","25","3.900","84.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
440","15","3.867","93.3",".",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice Soc Work I","Course Total","100","3.884","82.0","14.0","1.0","1.0","1.0",".",".",".",".",".",".",".",".","1.0",".","."
"Interpersonal Skills Devel","458
001","82","3.750","59.8","34.1","3.7","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"Interdis Rur Prim Hlth Care","600
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Field of Social Work","605
001","50","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","103","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
001","22","3.815","68.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work and Adolescents","Course Total","38","3.879","81.6","15.8","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Welfare-Devel Disabilts","644
001","40","3.651","65.0","15.0","10.0","7.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","18","3.453","33.3","22.2","33.3",".",".",".",".","5.6",".",".",".",".",".",".","5.6","."
"Topics-Contemp Soc Welfare","664
001","24","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","668
001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Family Violence","670
001","38","3.342","34.2","31.6","21.1","5.3","5.3",".","2.6",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Human Behavior & Environmnt","711
001","61","3.820","72.1","21.3","4.9","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","712
001","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
