"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"BUS","College Total","10499","3.219","27.5","23.5","29.7","8.3","8.5","1.2","0.4","0.6","0.0","0.1",".","0.1","0.1","0.1","0.0","0.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"BUS","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","68","2.770","23.5","14.7","10.3","11.8","17.6","7.4","4.4",".",".","10.3",".",".",".",".",".","."
"Sophomore","","568","2.895","21.0","13.4","27.6","12.5","19.9","4.4","0.9",".",".","0.4",".",".",".",".",".","."
"Junior","","2943","3.081","17.9","20.3","39.2","10.2","10.0","1.8","0.4",".","0.0",".",".",".","0.0","0.0",".","0.0"
"Senior","","4401","3.175","23.3","24.0","30.9","9.9","9.9","0.9","0.4","0.7","0.0",".",".",".",".","0.0",".","."
"Undergraduates","","7980","3.117","21.1","21.8","33.6","10.2","10.7","1.5","0.5","0.4","0.0","0.1",".",".","0.0","0.0",".","0.0"
"Special","","223","3.318","31.4","26.0","24.7","5.8","8.1",".","0.4","2.2",".",".",".",".",".","0.9","0.4","."
"Graduate","","2259","3.631","49.6","29.3","16.2","2.0","0.7",".","0.1","1.2","0.1",".",".","0.3","0.2","0.2","0.1","."
"Prof Yr 1","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","2","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","34","3.283","26.5","20.6","35.3","2.9","8.8",".",".","2.9",".",".",".",".",".","2.9",".","."
"Professionals","","37","3.255","24.3","18.9","40.5","2.7","8.1",".",".","2.7",".",".",".",".",".","2.7",".","."
"","College Total","10499","3.219","27.5","23.5","29.7","8.3","8.5","1.2","0.4","0.6","0.0","0.1",".","0.1","0.1","0.1","0.0","0.0"
