"","699
002","","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
007","","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
020","","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Reading","Course Total","","3","***","","","","","","","","","","","","","","","","","","","",""
"CLASSICS
244","Dept. Total","","78","3.024","25.6","14.1","28.2","7.7","16.7","5.1","",".","1.3","",".",".","",".","",".","1.3",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","9","2.722","11.1","22.2","22.2","11.1","22.2","11.1","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","31","2.935","19.4","19.4","32.3",".","22.6","6.5","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","32","3.000","21.9","9.4","31.3","15.6","12.5","3.1","",".","3.1","",".",".","",".","",".","3.1",".",".","."
"Undergraduates","","","72","2.936","19.4","15.3","30.6","8.3","18.1","5.6","",".","1.4","",".",".","",".","",".","1.4",".",".","."
"Graduate","","","6","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","78","3.024","25.6","14.1","28.2","7.7","16.7","5.1","",".","1.3","",".",".","",".","",".","1.3",".",".","."
