"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"HISTORY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"History of Africa to 1500","376","001","","45","2.944","8.9","28.9","22.2","15.6","13.3","4.4",".","2.2",".",".",".",".",".","4.4",".","."
"Hist of Africa Since 1870","378","001","","27","3.355","37.0","29.6","22.2",".","3.7",".","3.7","3.7",".",".",".",".",".",".",".","."
"Jefferson&Jackson,1789-1848","391","001","","69","3.256","20.3","29.0","36.2","7.2","2.9","1.4",".","1.4",".",".",".",".",".",".","1.4","."
"United States, 1877-1914","395","001","","54","3.366","29.6","31.5","27.8","1.9","3.7",".","1.9",".",".",".",".",".",".","3.7",".","."
"The US Since 1945","398","001","","63","3.319","30.2","30.2","20.6","12.7","3.2",".","1.6",".",".",".",".",".",".","1.6",".","."
"Amer Urban Hist 1620-1870","401","001","","52","3.047","17.3","23.1","25.0","19.2","9.6",".","1.9","1.9",".",".",".",".",".","1.9",".","."
"Immigratn&Assimlatn-Am Hist","403","001","","74","3.299","27.0","31.1","20.3","12.2","8.1",".",".","1.4",".",".",".",".",".",".",".","."
"Central Europe 1871-Present","410","001","","39","3.088","17.9","30.8","15.4","15.4","2.6",".","5.1","7.7",".",".",".",".","2.6","2.6",".","."
"History-American Education","412","001","","62","3.516","45.2","29.0","16.1","4.8","1.6",".","1.6",".",".",".",".",".",".","1.6",".","."
"History of Russia","417","001","","47","2.988","14.9","31.9","29.8","6.4","6.4","6.4","2.1",".",".",".",".",".",".","2.1",".","."
"History of Soviet Russia","419","001","","65","3.277","26.2","24.6","29.2","16.9",".",".","1.5",".",".",".",".",".",".","1.5",".","."
"Hist of Equatorial Africa","445","001","","17","3.272","52.9","17.6","5.9","17.6",".",".","5.9",".",".",".",".",".",".",".",".","."
"History of Medieval India","448","001","","46","3.327","30.4","30.4","26.1","4.3","6.5","2.2",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","","38","3.135","15.8","31.6","23.7","15.8","10.5",".",".","2.6",".",".",".",".",".",".",".","."
"Eur Soc Hist 1830-1914","474","001","","19","3.367","31.6","26.3","26.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"American Indian History","490","001","","46","3.587","47.8","32.6","15.2",".",".",".","2.2","2.2",".",".",".",".",".",".",".","."
"Reading Seminar in History","500","003","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Health, Disease & Healing I","507","001","","11","3.364","18.2","36.4","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Social Sciences","536","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Intdis Stdy-Medvl Civ","550","001","","10","3.444","10.0","60.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Mexican Revolution","557","001","","42","3.214","14.3","38.1","38.1","4.8","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","","25","2.780",".","44.0","32.0","8.0","4.0",".","12.0",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561","001","","13","3.231","23.1","15.4","53.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Med&Nat Hist-Sci Revolution","568","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Scand:Politics&Hist","577","001","","12","3.613","41.7","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","","13","3.385","15.4","76.9",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","600","002","","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","","17","3.618","70.6","17.6","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","600","004","","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","005","","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","006","","15","3.667","60.0","26.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","600","007","","15","3.500","46.7","46.7",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","600","008","","16","3.733","56.3","31.3",".","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"","600","009","","13","3.077","23.1","38.5","7.7","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"","600","010","","14","3.464","28.6","50.0","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600","011","","9","3.250","33.3","22.2",".","22.2","11.1",".",".",".",".",".",".",".",".","11.1",".","."
"","600","012","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","","Course Total","","159","3.525","45.3","34.6","10.1","3.8","2.5","1.3","1.3",".",".",".",".",".","0.6","0.6",".","."
"Hist-Civ Rghts Movmnt in US","628","001","","28","3.193","10.7","50.0","28.6","3.6","3.6",".","3.6",".",".",".",".",".",".",".",".","."
