"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"318
Principles-Wildlife Ecology","001","","133","2.973","29.3","12.8","15.8","15.0","19.5","4.5","0.8","0.8",".",".",".",".",".","1.5",".","."
"319
Ecol Prin Appl to Wildlife","001","","50","3.459","56.0","4.0","24.0","6.0","6.0","2.0",".",".",".",".",".",".",".","2.0",".","."
"360
Extinction of Species","001","","59","2.898","25.4","6.8","35.6","3.4","22.0","5.1","1.7",".",".",".",".",".",".",".",".","."
"375","001","","6","3.167","66.7",".","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"375","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","8","3.361","62.5","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"401
Physiologicl Animal Ecology","001","","39","2.897","17.9","17.9","28.2","17.9","12.8",".","5.1",".",".",".",".",".",".",".",".","."
"548
Diseases of Wildlife","001","","35","2.956","11.4","25.7","25.7","17.1","14.3","2.9",".","2.9",".",".",".",".",".",".",".","."
"561
Wildlife Management Tech","001","","40","3.050","32.5",".","50.0",".","7.5","10.0",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Wildlife Ecol Teachng","Course Total","","4","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961
Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","6","4.000","50.0",".",".",".",".",".",".",".",".",".",".","50.0",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","34","4.000","73.5",".",".",".",".",".",".","14.7",".",".",".","11.8",".",".",".","."
