"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","84","3.167","23.8","28.6","26.2","11.9","3.6","6.0",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","56","3.295","28.6","33.9","17.9","14.3","1.8","3.6",".",".",".",".",".",".",".",".",".","."
"","321","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","56","3.973","94.6","5.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","","78","3.410","29.5","29.5","34.6","6.4",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","51","3.216","31.4","19.6","25.5","7.8","15.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","57","3.649","47.4","35.1","17.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Design I","466","001","","20","3.575","15.0","85.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","","64","3.422","21.9","45.3","29.7","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","","33","3.391","21.2","42.4","24.2","9.1",".",".",".",".",".",".",".",".",".","3.0",".","."
"Analysis-Capital Investment","513","001","","27","3.722","66.7","18.5","7.4","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","","47","3.745","53.2","42.6","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Decision Analysis","516","001","","45","3.818","62.2","35.6",".",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","8","3.357","12.5","37.5","37.5",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Ergonomcs-Manufact&Industry","564","001","","22","3.568","45.5","27.3","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Quality Engineering","575","001","","52","3.798","65.4","28.8","5.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","605","001","","45","3.500","33.3","40.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sim Model&Analy-Ind Eng Sys","642","001","","25","3.900","88.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Performnc Anal-Manufact Sys","643","001","","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Job Design","653","001","","26","3.808","73.1","15.4","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","001","","17","3.870","76.5","11.8","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","691","002","","13","3.591","15.4","69.2",".",".",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"","691","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","","35","3.713","45.7","40.0","5.7",".",".",".",".","2.9",".",".",".",".","5.7",".",".","."
"","699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Network Flows","719","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
