"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","32","3.953","90.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","18","3.167","22.2","27.8","27.8","16.7",".","5.6",".",".",".",".",".",".",".",".",".","."
"","170
002","14","3.107","21.4","14.3","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","170
003","17","3.588","29.4","58.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
004","15","3.533","20.0","66.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
170","14","3.214","42.9","14.3","21.4",".","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","170
006","15","3.467","46.7","20.0","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","007
170","16","3.594","56.3","12.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","170
008","17","3.735","70.6","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","009
170","16","3.563","31.3","50.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
010","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","156","3.465","39.1","30.8","20.5","5.8","2.6","1.3",".",".",".",".",".",".",".",".",".","."
"","001
220","30","2.810","33.3","10.0","16.7","13.3","6.7","6.7","10.0",".",".",".",".",".","3.3",".",".","."
"","220
002","50","2.970","20.0","22.0","18.0","12.0","28.0",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","Course Total","80","2.911","25.0","17.5","17.5","12.5","20.0","2.5","3.8",".",".",".",".",".","1.3",".",".","."
"","001
230","28","3.019","14.3","21.4","32.1","17.9","7.1","3.6",".","3.6",".",".",".",".",".",".",".","."
"","002
230","45","2.578","6.7","15.6","37.8","6.7","22.2","2.2","8.9",".",".",".",".",".",".",".",".","."
"Circuit Analysis","Course Total","73","2.743","9.6","17.8","35.6","11.0","16.4","2.7","5.5","1.4",".",".",".",".",".",".",".","."
"","270
001","14","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
270","16","3.344","31.3","50.0","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","003
270","14","3.464","42.9","14.3","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","270
004","13","3.346","23.1","38.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","270
005","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","65","3.477","33.8","43.1","15.4","6.2",".",".","1.5",".",".",".",".",".",".",".",".","."
"","271
001","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","14","3.464","28.6","35.7","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
271","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
005","15","3.667","60.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
006","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
007","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","80","3.650","48.8","32.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trans Lines & Netwks Lab","301
001","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","305
002","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
313","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","10","3.550","20.0","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","28","3.589","28.6","60.7","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","12","3.042","16.7","16.7","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"","003
315","6","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","27","3.352","37.0","22.2","22.2","11.1","7.4",".",".",".",".",".",".",".",".",".",".","."
"","320
001","41","2.732","17.1","14.6","17.1","24.4","19.5","2.4","4.9",".",".",".",".",".",".",".",".","."
"","320
002","44","2.977","11.4","27.3","25.0","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
