"BIOMOLECULAR CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","",""
"314
Intro to Human Biochemistry","001","","112","3.040","24.1","13.4","38.4","5.4","14.3","3.6","0.9",".",".",".",".",".",".",".",".","."
"675
Adv/Spec Topics:Biomol Chem","001","","13","3.577","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Research Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"704
Comprehensive Human Biochem","001","","153","3.507","52.3","4.6","40.5",".","2.0",".","0.7",".",".",".",".",".",".",".",".","."
"900","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Biomoleclr Chem Journl Club","Course Total","","30","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"901
Biomolecular Chem Seminar","001","","40","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","7","4.000","57.1",".",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"990","022","","10","4.000","20.0",".",".",".",".",".",".","50.0",".",".",".","30.0",".",".",".","."
"990","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Biomoleclr Chem & Rsrch","Course Total","","54","3.908","46.3","3.7","1.9",".",".",".",".","38.9",".",".",".","9.3",".",".",".","."
