"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"712","002","","22","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology in Soc Wrk","Course Total","","40","3.813","65.0","32.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"721
Methods-Planning Analysis","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"742
Assess&Treat Chld&Adolescnt","001","","23","3.717","65.2","17.4","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"800","004","","15","3.863","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","005","","14","3.962","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"800","009","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","013","","8","3.900","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"800","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"800","037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"800","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"800","045","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","050","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"800","070","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"800","072","","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","Course Total","","108","3.888","81.5","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"841
Administration-Social Work","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"845
Case Management","001","","28","3.942","82.1","10.7",".",".",".",".",".",".",".",".",".",".","3.6","3.6",".","."
"866
Recent Developmnts-Soc Work","001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"869
Recent Developmnts-Soc Work","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"873
Spec Iss-Health Care Settng","001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Child Welfare","001","","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
Family Violence","001","","39","3.782","71.8","15.4","10.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"928
Social Work and Alcoholism","001","","20","3.700","45.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"949
Proseminar","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950
PhD Proseminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"952
PhD Proseminar","001","","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 285 of 375",""
