"L&S","","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","","",""
"COM ARTS
250","Dept. Total","3777","3.158","19.7","28.3","28.1","11.7","6.5","1.4","1.1","2.4","",".","0.1","",".","0.2","0.1","0.3","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","892","3.180","17.4","34.1","31.2","9.9","3.9","1.8","1.3",".","",".",".","",".",".",".","0.2",".","0.2"
"Sophomore","","713","3.087","15.6","27.6","31.7","14.7","7.3","1.4","1.0","0.1","",".",".","",".",".",".","0.6",".","."
"Junior","","1087","3.118","19.1","27.9","27.9","13.1","7.6","1.3","1.7","0.5","",".","0.4","",".",".","0.1","0.6",".","."
"Senior","","885","3.158","20.9","27.6","28.4","11.6","8.6","1.5","0.5","0.8","",".","0.1","",".",".","0.1",".",".","."
"Undergraduates","","3577","3.137","18.4","29.3","29.6","12.2","6.9","1.5","1.1","0.4","",".","0.1","",".",".","0.1","0.3",".","0.1"
"Special","","23","3.627","39.1","34.8","8.7","4.3",".",".",".","8.7","",".",".","",".",".",".",".","4.3","."
"Graduate","","175","3.904","44.0","6.9","0.6","0.6",".",".",".","43.4","",".",".","",".","4.0","0.6",".",".","."
"Prof Yr 1","","2","2.900",".","50.0",".","50.0",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","2","2.900",".","50.0",".","50.0",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","3777","3.158","19.7","28.3","28.1","11.7","6.5","1.4","1.1","2.4","",".","0.1","",".","0.2","0.1","0.3","0.0","0.1"
