"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"","134
007","18","3.571","38.9","22.2","11.1",".","5.6",".",".","22.2",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","135","3.602","38.5","22.2","10.4","3.0","2.2",".",".","22.2",".",".",".",".","0.7",".",".","0.7"
"","001
138","18","3.536","22.2","38.9","16.7",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","138
002","18","3.300","5.6","38.9","38.9",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","138
003","17","2.750","11.8",".","11.8","5.9",".",".","5.9","64.7",".",".",".",".",".",".",".","."
"","004
138","12","3.357","8.3","25.0","25.0",".",".",".",".","41.7",".",".",".",".",".",".",".","."
"","005
138","14","3.375","14.3","14.3","28.6",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"Golf I","Course Total","79","3.320","12.7","24.1","24.1","1.3",".",".","1.3","36.7",".",".",".",".",".",".",".","."
"Mvmnt Fund-Vocl&Musicl Perf","139
001","11","3.400","27.3","27.3","27.3","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"","140
001","20","3.500","15.0","30.0","15.0",".",".",".",".","35.0","5.0",".",".",".",".",".",".","."
"","140
002","20","3.563","20.0","50.0","10.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","40","3.536","17.5","40.0","12.5",".",".",".",".","27.5","2.5",".",".",".",".",".",".","."
"Ice Skating II","145
001","21","3.409","9.5","28.6","9.5","4.8",".",".",".","42.9","4.8",".",".",".",".",".",".","."
"","155
001","18","3.821","55.6","16.7","5.6",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","155
002","27","3.229","18.5","33.3","18.5","7.4","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"Badminton I","Course Total","45","3.447","33.3","26.7","13.3","4.4","6.7",".",".","15.6",".",".",".",".",".",".",".","."
"","157
001","24","3.457","25.0","41.7","25.0","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"","157
002","16","3.833","68.8","18.8","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","003
157","26","3.500","19.2","42.3","11.5","3.8",".",".",".","19.2",".",".",".",".",".","3.8",".","."
"Topics in Fencing","Course Total","66","3.569","33.3","36.4","15.2","3.0",".",".",".","10.6",".",".",".",".",".","1.5",".","."
"","001
162","21","3.100","14.3","19.0","28.6","4.8",".",".","4.8","28.6",".",".",".",".",".",".",".","."
"","002
162","14","3.455","14.3","42.9","21.4",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"","162
003","21","3.333","4.8","28.6","23.8",".",".",".",".","38.1",".",".",".",".",".","4.8",".","."
"","162
004","19","3.643","36.8","21.1","15.8",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"Tennis I","Course Total","75","3.375","17.3","26.7","22.7","1.3",".",".","1.3","29.3",".",".",".",".",".","1.3",".","."
"","163
001","20","3.500","35.0","30.0","10.0","5.0","5.0",".",".","15.0",".",".",".",".",".",".",".","."
"","163
002","19","3.594","31.6","36.8","15.8",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"","163
003","15","3.591","40.0","6.7","26.7",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","54","3.557","35.2","25.9","16.7","1.9","1.9",".",".","18.5",".",".",".",".",".",".",".","."
"Basketball I","170
001","27","3.348","18.5","29.6","33.3",".","3.7",".",".","14.8",".",".",".",".",".",".",".","."
"Soccer I","173
001","23","3.469","21.7","21.7","26.1",".",".",".",".","26.1",".",".",".",".",".","4.3",".","."
"","175
001","33","3.569","42.4","15.2","30.3",".",".",".",".","12.1",".",".",".",".",".",".",".","."
"","175
002","29","3.400","27.6","17.2","37.9","3.4",".",".",".","13.8",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","62","3.491","35.5","16.1","33.9","1.6",".",".",".","12.9",".",".",".",".",".",".",".","."
"Softball","179
001","17","3.594","47.1","17.6","29.4",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","201
001","15","3.286","6.7","13.3","26.7",".",".",".",".","46.7",".",".",".",".",".",".","6.7","."
"","201
002","19","3.967","73.7","5.3",".",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","34","3.750","44.1","8.8","11.8",".",".",".",".","32.4",".",".",".",".",".",".","2.9","."
"","211
001","23","4.000","82.6",".",".",".",".",".",".","17.4",".",".",".",".",".",".",".","."
"","211
002","23","4.000","95.7",".",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","46","4.000","89.1",".",".",".",".",".",".","10.9",".",".",".",".",".",".",".","."
"Weight Training II","232
001","13","3.611","30.8","23.1","15.4",".",".",".",".","30.8",".",".",".",".",".",".",".","."
"","238
001","8","3.667","12.5","25.0",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"","238
002","10","3.643","20.0","50.0",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 95 of 375"
