"HUMAN DEVEL & FAMILY STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","",""
"","362
001","14","3.143","42.9","14.3","14.3","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","362
002","97","3.351","38.1","25.8","24.7","5.2","1.0","3.1","2.1",".",".",".",".",".",".",".",".","."
"","362
003","36","3.243","36.1","13.9","30.6","5.6","8.3",".","2.8",".",".",".",".",".","2.8",".",".","."
"Development of Young Child","Course Total","147","3.305","38.1","21.8","25.2","6.1","3.4","2.0","2.7",".",".",".",".",".","0.7",".",".","."
"","001
363","39","2.987","10.3","28.2","20.5","35.9","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"","002
363","184","2.828","10.3","9.8","38.6","25.0","9.8","3.3","1.1","1.6",".",".",".",".","0.5",".",".","."
"Develp: Adolescence-Old Age","Course Total","223","2.856","10.3","13.0","35.4","26.9","8.5","3.1","0.9","1.3",".",".",".",".","0.4",".",".","."
"Intellect Develop&Preschool","460
001","31","3.935","90.3","6.5","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc&Emotnl Dev-Early Educ","001
461","28","3.946","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Laboratory","463
001","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Family&Com Influences-Child","469
001","26","3.827","65.4","34.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471
001","35","3.686","60.0","22.9","11.4","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic Minority Families-US","474
001","30","3.817","70.0","26.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","501
001","29","3.259","31.0","10.3","37.9","20.7",".",".",".",".",".",".",".",".",".",".",".","."
"Family Stress and Coping","516
001","28","3.411","21.4","46.4","25.0","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535
001","47","3.106","21.3","21.3","27.7","17.0","12.8",".",".",".",".",".",".",".",".",".",".","."
"Early Child Ed Tchg Practcm","564
001","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Preschool Stdt Teacher Smr","565
001","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sr Seminar-Chld&Fam Studies","566
001","22","3.523","31.8","40.9","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
019","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","19","3.975","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr: Child & Fam Studies","664
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","12","3.963","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Childhood and the Family","761
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolescence and the Family","762
001","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Theory I (Survey)","865
001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 137 of 375",""
