"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","225","2.982","17.8","12.4","37.8","15.1","15.6","1.3",".",".",".",".",".",".",".",".",".","."
"","300
002","223","3.126","21.1","16.1","39.9","12.6","10.3",".",".",".",".",".",".",".",".",".",".","."
"","003
300","11","3.273","18.2","18.2","63.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
300","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","471","3.082","21.2","14.2","38.4","13.2","12.3","0.6",".",".",".",".",".",".",".",".",".","."
"","305
001","81","3.241","28.4","22.2","30.9","11.1","4.9","2.5",".",".",".",".",".",".",".",".",".","."
"","305
002","64","3.008","14.1","23.4","34.4","12.5","9.4","4.7",".","1.6",".",".",".",".",".",".",".","."
"","305
003","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","151","3.157","21.9","25.2","31.1","11.3","6.6","3.3",".","0.7",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","10","3.692","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","11","3.724","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","401
001","20","3.575","35.0","45.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","39","3.218","12.8","38.5","43.6",".","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"","420
002","38","3.224","18.4","18.4","52.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Org & Mgmt Processes","Course Total","77","3.221","15.6","28.6","48.1","5.2","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"Mgt:Decisn,Implmntatn&Cntrl","001
421","24","3.438","33.3","25.0","37.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","422
001","39","3.513","33.3","41.0","23.1",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","423
001","26","3.411","19.2","46.2","30.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
423","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Policy","Course Total","32","3.428","21.9","43.8","31.3","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Public Sector Bargaining","001
539","11","3.364","18.2","36.4","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","36","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
001","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
002","14","3.846","78.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"Hum Rsrce Skills-Managers","Course Total","30","3.897","86.7",".","10.0",".",".",".",".",".",".",".",".",".",".",".","3.3","."
"","700
001","15","3.036","20.0","13.3","20.0","33.3","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"","700
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","16","3.100","25.0","12.5","18.8","31.3","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","701
001","41","3.439","34.1","24.4","36.6","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","43","3.640","46.5","37.2","14.0","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","Course Total","84","3.542","40.5","31.0","25.0","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","702
001","37","3.865","75.7","21.6","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
702","45","3.822","68.9","26.7","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership in Organizations","Course Total","82","3.841","72.0","24.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","001
705","21","3.667","61.9","14.3","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Org & Management Processes","720
001","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sm Bus Mgmt/Entrepreneurshp","722
001","38","3.724","55.3","34.2","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","35","3.386","20.0","40.0","37.1","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","002
723","33","3.470","30.3","33.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","68","3.426","25.0","36.8","36.8","1.5",".",".",".",".",".",".",".",".",".",".",".","."
