"TERM : 0992","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 1998-99","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"CAVE","","","","","","","","","","","","","","","","","","","","","",""
"CONTINUING AND VOCATIONAL  Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","","","",""
"C A V E
Dept. Total
268","224","3.865","57.1","15.2","7.6",".","0.4","",".","",".","9.4","",".",".","",".","5.8","2.7","1.3","0.4","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","3.833","33.3","33.3",".",".",".","",".","",".",".","",".",".","",".",".",".","33.3",".","."
"Junior","11","3.633","45.5","27.3","27.3",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","55","3.827","56.4","23.6","14.5",".","1.8","",".","",".",".","",".",".","",".",".",".","3.6",".","."
"Undergraduates","69","3.809","53.6","24.6","15.9",".","1.4","",".","",".",".","",".",".","",".",".",".","4.3",".","."
"Special","13","3.818","53.8",".","30.8",".",".","",".","",".",".","",".",".","",".",".","7.7",".","7.7","."
"Graduate","141","3.904","59.6","11.3","1.4",".",".","",".","",".","14.9","",".",".","",".","9.2","3.5",".",".","."
"Prof Yr 3","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Dept. Total","224","3.865","57.1","15.2","7.6",".","0.4","",".","",".","9.4","",".",".","",".","5.8","2.7","1.3","0.4","."
