"","990
017","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
023","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Thesis Research","Course Total","15","4.000","40.0",".",".",".",".",".",".","40.0","",".",".","",".","20.0","",".",".",".","."
"Independent Research","999
007","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"E ASIAN
295","Dept. Total","494","3.333","36.8","27.3","14.2","8.1","5.1","2.4","0.4","4.0","",".","1.0","",".","0.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","54","3.138","27.8","31.5","14.8","14.8","3.7","5.6","1.9",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","107","3.202","31.8","26.2","18.7","8.4","11.2","0.9","0.9","0.9","",".","0.9","",".",".","",".",".",".","."
"Junior","","105","3.374","37.1","25.7","16.2","8.6","3.8","2.9",".","4.8","",".","1.0","",".",".","",".",".",".","."
"Senior","","130","3.355","33.8","28.5","13.1","10.8","5.4","2.3",".","3.8","",".","2.3","",".",".","",".",".",".","."
"Undergraduates","","396","3.277","33.3","27.5","15.7","10.1","6.3","2.5","0.5","2.8","",".","1.3","",".",".","",".",".",".","."
"Special","","14","3.543","64.3","7.1","21.4",".",".","7.1",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","83","3.690","48.2","30.1","6.0",".",".","1.2",".","10.8","",".",".","",".","3.6","",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","494","3.333","36.8","27.3","14.2","8.1","5.1","2.4","0.4","4.0","",".","1.0","",".","0.6","",".",".",".","."
