"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","",""
"PHM","College Total","2204","3.238","35.3","16.8","21.3","11.2","8.5","1.9","0.3","1.0","",".","2.9",".","0.6","0.0",".","0.0","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"PHM","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","2","2.750",".",".","50.0","50.0",".",".",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","20","2.698","10.0","5.0","45.0","15.0","20.0","5.0",".",".","",".",".",".",".",".",".",".","."
"Junior","","513","3.334","34.1","22.6","22.6","9.4","5.5","0.6","0.6","0.2","",".","4.5",".",".",".",".",".","."
"Senior","","184","3.436","45.7","16.8","15.2","4.3","6.5","3.3","1.1",".","",".","7.1",".",".",".",".",".","."
"Undergraduates","","719","3.348","36.3","20.6","21.4","8.3","6.1","1.4","0.7","0.1","",".","5.0",".",".",".",".",".","."
"Special","","30","3.689","66.7","10.0","13.3","3.3",".","3.3",".","3.3","",".",".",".",".",".",".",".","."
"Graduate","","145","3.831","63.4","4.1","4.8","2.8",".",".",".","13.8","",".",".",".","9.7","0.7",".","0.7","."
"Prof Yr 1","","490","3.100","26.7","17.1","19.8","9.0","7.1","1.8",".",".","",".","1.0",".","17.3",".",".",".","."
"Prof Yr 2","","930","2.988","34.5","12.5","24.2","14.3","11.8","2.3","0.2",".","",".","0.2",".",".",".",".",".","."
"Prof Yr 4","","106","3.791","54.7","13.2","7.5","4.7","0.9",".",".",".","",".","18.9",".",".",".",".",".","."
"Professionals","","1526","3.105","33.4","14.0","21.6","11.9","9.6","2.0","0.1",".","",".","1.8",".","5.6",".",".",".","."
"","College Total","2420","3.238","36.5","15.3","20.5","10.2","7.9","1.7","0.3","0.9","",".","2.6",".","4.1","0.0",".","0.0","."
