"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"681","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","29","4.000","96.6",".",".",".",".",".",".",".",".",".",".","3.4",".",".",".","."
"682","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"686
Honors Seminar in Psych","001","","31","3.903","83.9","12.9","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"693","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"693","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Behavior Problems","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"694","016","","30","3.971","96.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"694","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"694","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"694","060","","11","3.500","45.5","9.1","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Developmental Psych","Course Total","","48","3.845","85.4","2.1","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","002","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","006","","8","3.891","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"695","022","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","040","","7","3.400","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Probs-Clinical Psychology","Course Total","","55","3.899","92.7","5.5",".",".",".",".","1.8",".",".",".",".",".",".",".",".","."
"697","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"697","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 275 of 375",""
