"Research in Neurophysiology","900
005","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
014","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
018","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research&Thesis-Neurophy","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROPHY
680","Dept. Total","","28","3.453","46.4","3.6","42.9",".","",".","",".","3.6","",".","",".",".","",".","",".","",".","3.6",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"680
NEUROPHY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","2","3.000",".",".","100.0",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","2","3.000",".",".","100.0",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","25","3.467","48.0","4.0","40.0",".","",".","",".","4.0","",".","",".",".","",".","",".","",".","4.0",".","."
"Prof Yr 3","","","1","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","1","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","28","3.453","46.4","3.6","42.9",".","",".","",".","3.6","",".","",".",".","",".","",".","",".","3.6",".","."
