"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","434","2.667","11.8","16.8","20.0","20.5","20.0","8.3","2.1","0.5",".",".",".",".",".",".",".","."
"","002
101","529","2.682","12.9","16.8","18.5","23.4","17.4","7.4","3.0","0.4",".",".",".",".",".",".","0.2","."
"","003
101","435","3.310","38.9","22.8","16.6","8.5","12.2","0.7","0.5",".",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1398","2.873","20.6","18.7","18.4","17.9","16.6","5.6","1.9","0.3",".",".",".",".",".",".","0.1","."
"","102
001","280","2.857","12.1","25.0","17.5","20.7","21.4","1.4","1.4","0.4",".",".",".",".",".",".",".","."
"","102
002","378","2.715","14.6","16.1","21.2","18.0","20.4","6.9","2.6","0.3",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","658","2.775","13.5","19.9","19.6","19.1","20.8","4.6","2.1","0.3",".",".",".",".",".",".",".","."
"","111
001","33","3.621","51.5","21.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","55","2.764","9.1","20.0","25.5","20.0","20.0","3.6","1.8",".",".",".",".",".",".",".",".","."
"Prin/Econ-Accelratd Treatmt","Course Total","88","3.085","25.0","20.5","26.1","12.5","12.5","2.3","1.1",".",".",".",".",".",".",".",".","."
"Economics of Black America","261
001","18","3.227","27.8","5.6","5.6","11.1","11.1",".",".","38.9",".",".",".",".",".",".",".","."
"","300
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
002","10","3.150","40.0","10.0","30.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","300
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
004","9","2.563",".",".","33.3","33.3","22.2",".",".","11.1",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","28","3.074","25.0","14.3","28.6","14.3","10.7","3.6",".","3.6",".",".",".",".",".",".",".","."
"","301
001","71","2.724","7.0","7.0","36.6","18.3","11.3","7.0",".","11.3",".",".",".",".",".","1.4",".","."
"","301
002","73","2.898","11.0","15.1","32.9","19.2","8.2","2.7","1.4","8.2",".",".",".",".",".","1.4",".","."
"Intmed Microeconomic Theory","Course Total","144","2.814","9.0","11.1","34.7","18.8","9.7","4.9","0.7","9.7",".",".",".",".",".","1.4",".","."
"","302
001","68","2.853","19.1","20.6","26.5","10.3","14.7","2.9","4.4","1.5",".",".",".",".",".",".",".","."
"","302
002","71","2.791","29.6","7.0","19.7","9.9","16.9","8.5","4.2",".","4.2",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","139","2.821","24.5","13.7","23.0","10.1","15.8","5.8","4.3","0.7","2.2",".",".",".",".",".",".","."
"The Real Estate Process","306
001","28","2.643",".","28.6","14.3","21.4","32.1","3.6",".",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","310
001","84","2.994","28.6","17.9","20.2","11.9","13.1","6.0","2.4",".",".",".",".",".",".",".",".","."
"Intmed Microecon-Math Trtmt","311
001","19","3.053","15.8","21.1","36.8","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"","320
001","7","2.929","28.6","14.3","14.3",".","42.9",".",".",".",".",".",".",".",".",".",".","."
"","002
320","7","2.700","28.6",".",".","14.3","14.3","14.3",".","28.6",".",".",".",".",".",".",".","."
"Investments","Course Total","14","2.833","28.6","7.1","7.1","7.1","28.6","7.1",".","14.3",".",".",".",".",".",".",".","."
"Public Utilities","325
001","13","3.231","15.4","38.5","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330
001","120","2.897","10.8","28.3","25.0","20.0","5.8","5.8","2.5","1.7",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","70","3.208","20.0","34.3","28.6","5.7","5.7","1.4","1.4","2.9",".",".",".",".",".",".",".","."
"Survey-Internatl Economics","364
001","88","2.983","25.0","12.5","26.1","15.9","14.8","3.4","1.1","1.1",".",".",".",".",".",".",".","."
"Comparative Econ Systems","365
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Economic Issue","390
001","69","3.165","23.2","23.2","33.3","7.2","8.7","2.9",".",".",".",".",".",".","1.4",".",".","."
"Introductory Econometrics","410
001","29","2.638","17.2","10.3","24.1","6.9","31.0","6.9","3.4",".",".",".",".",".",".",".",".","."
"Advanced Macroeconomics","001
412","16","2.967","18.8","6.3","37.5","25.0",".","6.3",".",".",".",".",".",".",".",".","6.3","."
"Urban & Regional Economics","420
001","7","2.786",".","14.3","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".","."
"Macroeconometric Analysis","436
001","10","3.444","50.0","10.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".","10.0",".","."
"Wages and the Labor Market","450
001","48","2.886","14.6","29.2","16.7","16.7","14.6","8.3",".",".",".",".",".",".",".",".",".","."
"Collect Bargaing&Pub Policy","453
001","12","2.500","16.7","8.3","16.7","8.3","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462
001","34","3.455","29.4","35.3","26.5","5.9",".",".",".",".",".",".",".",".",".",".","2.9","."
"Internatl Trade & Finance","464
001","41","3.114","14.6","26.8","36.6","4.9","9.8","2.4",".",".",".",".",".",".",".","4.9",".","."
