"CURRICULUM AND INSTRUCTIO Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"422
001
Tchg Child Lit-Elem & Middl","","65","3.898","92.3","1.5","3.1",".",".",".","1.5",".",".",".",".",".",".","1.5",".","."
"423
001
Stdt Tchg-Elem School Art","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"424
001
Stdt Tchg-Secondary Sch Art","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"425
001
Concrn&Constrnt-Tch Yng Chl","","23","3.891","87.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"446
001
Stdt Teach-Sec Schl French","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"447
001
Stdt Teach-Sec Schl German","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"448
001
Student Teaching in Hebrew","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"456
001
Stdt Teach-Sec Schl Spanish","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"458
001
Stdt Tch-His&Soc St Mid Sch","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"459
001
Stdt Tchg Hist&Soc St in HS","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"463
001
Seminar:K-Mid Schl Teaching","","55","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"464
001","","34","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"464
002","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"464
003","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Tchg in Elem School","","59","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"465
001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"465
002","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Tchg-Kindergarten","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"466
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"466
002","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Teaching-Music:Elem","","12","",".",".",".",".",".",".",".",".",".","91.7",".",".",".",".",".","8.3"
"467
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"467
002","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Teaching-Music:Secndry","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"472
001
Stdt Teaching Engl-Mid Schl","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490
001
Stdt Teach-Science in H.S.","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"492
001
Student Teaching-Com Dis","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"494
001
Student Teaching in HS Math","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"495
001
Stdt Teach Sci-MiddleSchl","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"496
001
Stdt Teaching-English in HS","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"497
001
Stdt Teach-Middle Schl Math","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"498
001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"498
002","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Teaching-Middle School","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"500
001
Developmtl Rdg-Elem Schl","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
001
Health Info for Teachers","","95","3.814","78.9","12.6","4.2","1.1","1.1",".","1.1","1.1",".",".",".",".",".",".",".","."
"503
001
Developmental Rdg-Sec Schl","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
001
Strategy-Inclusive Schoolng","","77","3.870","81.8","13.0","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"514
001
Instrctnl Computn-Schools I","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"559
001
Adv Pract-Teach Soc Studies","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"561
001
Teacher Ed-Human Sexuality","","33","3.970","97.0",".","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
