"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","103
001","319","2.793","20.1","7.8","33.5","8.5","22.9","4.1","3.1",".",".",".",".",".",".",".",".","."
"","103
002","324","3.101","25.0","19.8","26.2","10.8","16.7","0.9","0.3",".",".",".",".",".",".","0.3",".","."
"","103
003","317","2.915","16.1","9.1","43.5","11.0","17.0","2.8","0.3",".",".",".",".",".",".",".",".","."
"","004
103","307","2.902","20.2","11.7","34.9","5.9","23.1","2.0","2.0",".",".",".",".",".",".",".",".","0.3"
"","005
103","307","2.988","27.0","10.4","32.2","4.2","19.9","3.3","1.6",".",".",".",".",".","0.3","1.0",".","."
"","006
103","165","3.296","30.9","23.6","29.1","9.7","4.2","1.2","0.6","0.6",".",".",".",".",".",".",".","."
"","103
007","249","2.787","16.5","13.3","26.9","12.4","26.1","2.4","2.4",".",".",".",".",".",".",".",".","."
"General Chemistry","Course Total","1988","2.950","21.8","13.0","32.7","8.8","19.4","2.5","1.5","0.1",".",".",".",".","0.1","0.2",".","0.1"
"General Chemistry","104
001","244","2.897","30.7","7.0","29.5","7.0","11.9","11.5","2.0",".",".",".",".",".",".","0.4",".","."
"General Chemistry","108
001","181","3.199","31.5","14.9","35.9","5.0","9.9","1.7","1.1",".",".",".",".",".",".",".",".","."
"","109
001","257","3.634","63.8","10.9","21.4","0.8","1.9",".","1.2",".",".",".",".",".",".",".",".","."
"","002
109","258","3.543","58.1","11.2","24.0","1.2","3.1","1.2","1.2",".",".",".",".",".",".",".",".","."
"Gen & Analytical Chem I","Course Total","515","3.588","61.0","11.1","22.7","1.0","2.5","0.6","1.2",".",".",".",".",".",".",".",".","."
"Chemical Principles I","115
001","29","3.793","72.4","17.2","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","221
001","75","3.047","28.0","18.7","24.0","9.3","12.0","4.0","2.7",".",".",".",".",".",".","1.3",".","."
"","002
221","48","3.564","47.9","31.3","10.4",".","8.3",".",".","2.1",".",".",".",".",".",".",".","."
"Analytical Chemistry","Course Total","123","3.248","35.8","23.6","18.7","5.7","10.6","2.4","1.6","0.8",".",".",".",".",".","0.8",".","."
"Analytical Chemistry","223
001","42","3.280","35.7","14.3","23.8","16.7","7.1",".",".","2.4",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
054","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
055","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","14","3.881","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry","001
341","197","2.939","22.3","11.2","32.0","8.1","22.8","2.0","1.0","0.5",".",".",".",".",".",".",".","."
"","342
001","17","3.531","29.4","41.2","23.5",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","342
002","16","3.438","43.8",".","56.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","342
003","11","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","342
004","17","3.559","47.1","23.5","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","342
005","16","3.375","37.5","31.3","12.5","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","006
342","14","3.464","42.9","14.3","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","009
342","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","342
010","18","3.556","50.0","11.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
342","16","3.400","31.3","18.8","37.5","6.3",".",".",".",".",".",".",".",".",".","6.3",".","."
"","342
012","14","3.393","28.6","28.6","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Organic Chemistry Lab","Course Total","154","3.500","40.9","22.7","30.5","3.2","1.3",".",".","0.6",".",".",".",".",".","0.6",".","."
"","001
343","272","2.591","22.4","1.5","26.5","6.3","30.5","6.3","5.9","0.4",".",".",".",".",".","0.4",".","."
"","343
002","236","2.857","19.5","11.4","35.6","6.8","18.2","6.4","1.7",".",".",".",".",".",".","0.4",".","."
"","003
343","212","2.711","18.9","8.5","26.9","6.6","32.5","2.4","3.8",".",".",".",".",".",".",".",".","0.5"
"","343
004","46","3.402","39.1","13.0","41.3","2.2","4.3",".",".",".",".",".",".",".",".",".",".","."
"","343
005","93","3.360","36.6","21.5","31.2","5.4","3.2","1.1","1.1",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry","Course Total","859","2.821","23.2","8.7","30.4","6.2","23.3","4.4","3.4","0.1",".",".",".",".",".","0.2",".","0.1"
"","344
001","13","3.462","30.8","30.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
