"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"699","018","","13","3.882","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","22","3.946","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"724
Mechanisms of Enzyme Action","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"729
Advanced Topics","001","","20","3.395","25.0","25.0","45.0",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"800
Prac Nuc Mag Resonance Thry","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"840
Regul Mechanisms-Plant Dev","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","18","3.361","27.8","33.3","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"875","002","","12","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","30","3.375","23.3","40.0","30.0","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"901
Smr-Nutr&Metabolism (Adv)","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"902
Sem-Plant Biochem Advanced","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"903
Smr-Membrane Biochem (Adv)","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"905
Smr-Biomolec Structur (Adv)","001","","21","3.542","14.3","33.3","9.5",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"908
Smr:Nitrogen Fixation (Adv)","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"909
Smr-Enzymology (Advanced)","001","","21","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"910
Smr-Molecular Virolgy (Adv)","001","","19","4.000","15.8",".",".",".",".",".",".","84.2",".",".",".",".",".",".",".","."
"911
Smr:Molec Mech-Hormone Act","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"913
Smr-RiboGroup (Advanced)","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","17","4.000","11.8",".",".",".",".",".",".","88.2",".",".",".",".",".",".",".","."
"932
Biotechnol Traing Prgm Smr","001","","17","3.588","58.8",".","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","6","3.500",".","16.7",".",".",".",".",".","33.3",".",".",".","50.0",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","6","3.607","16.7","16.7",".",".",".",".",".","50.0",".",".",".","16.7",".",".",".","."
"990","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","043","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"990","044","","11","4.000","9.1",".",".",".",".",".",".","54.5",".",".",".","36.4",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","051","","10","4.000","40.0",".",".",".",".",".",".","50.0",".",".",".","10.0",".",".",".","."
