"AFRICAN LANGUAGES & LITERA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"The African Storyteller","210","001","402","2.682","14.2","14.4","19.9","21.9","14.2","6.2","4.7","4.0","0.5",".",".",".",".",".",".","."
"The African Autobiography","211","001","125","3.244","17.6","36.8","32.0","8.0","1.6","0.8","1.6","1.6",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","41","2.756","12.2","19.5","22.0","7.3","29.3","2.4","2.4","4.9",".",".",".",".",".",".",".","."
"African Lit in Translation","300","001","23","3.848","78.3","13.0","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Arabic","321","001","28","3.171","42.9","10.7","7.1","7.1","21.4","3.6",".",".",".",".",".",".",".","3.6",".","3.6"
"Third Semester Arabic","323","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquial Arabic","325","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Swahili","331","001","22","3.428","40.9","31.8","4.5","18.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Swahili","333","001","13","3.346","7.7","53.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Hausa","363","001","7","2.857","28.6","28.6","14.3",".",".","28.6",".",".",".",".",".",".",".",".",".","."
"Third Semester Yoruba","373","001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Poetry","411","001","16","3.656","56.3","18.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp African Fiction","412","001","33","3.397","57.6","12.1","12.1","3.0","12.1",".","3.0",".",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Gr","435","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","445","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"African Prose&Poetry-French","454","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","669","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Mod Afr Lit","901","001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","7","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"","999","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Reading & Research","","Course Total","4","***","","","","","","","","","","","","","","","",""
