"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Life Contingencies I","650
001","","28","2.929","17.9","14.3","32.1","7.1","28.6",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Risk Theory","654
001","","13","3.192","30.8","23.1","23.1",".","23.1",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"ACT SCI
242","Dept. Total","","41","3.012","22.0","17.1","29.3","4.9","26.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","5","3.300","40.0",".","40.0","20.0",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","27","2.852","11.1","18.5","33.3","3.7","33.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","32","2.922","15.6","15.6","34.4","6.3","28.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","9","3.333","44.4","22.2","11.1",".","22.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","41","3.012","22.0","17.1","29.3","4.9","26.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
