"ASTRONOMY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","",""
"Survey of Astronomy","100
001","145","3.115","19.3","25.5","26.2","17.9","9.0","1.4",".","0.7",".",".",".",".",".",".",".","."
"The Evolving Universe","103
001","125","3.081","15.2","23.2","31.2","21.6","6.4","0.8",".","1.6",".",".",".",".",".",".",".","."
"","104
001","144","2.677","9.7","4.2","42.4","11.8","27.8","2.1","2.1",".",".",".",".",".",".",".",".","."
"","002
104","143","2.764","11.9","14.0","28.0","27.3","11.9","2.1","4.2","0.7",".",".",".",".",".",".",".","."
"Exploration of Solar System","Course Total","287","2.720","10.8","9.1","35.2","19.5","19.9","2.1","3.1","0.3",".",".",".",".",".",".",".","."
"","114
001","20","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","114
002","23","3.614","56.5","4.3","34.8",".",".",".",".",".",".",".",".",".",".","4.3",".","."
"","114
003","22","3.545","59.1","13.6","13.6","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","004
114","23","3.717","65.2","13.0","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
114","23","3.543","60.9","13.0","21.7",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","114
006","22","3.432","45.5","9.1","36.4","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Hands on the Solar System","Course Total","133","3.561","56.4","9.0","29.3","1.5","2.3",".","0.8",".",".",".",".",".",".","0.8",".","."
"","150
001","34","3.074","29.4","14.7","8.8","2.9","20.6",".","2.9","17.6",".",".",".",".",".","2.9",".","."
"","150
002","25","2.700","16.0","12.0","28.0","16.0","16.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"Topics in Astronomy","Course Total","59","2.894","23.7","13.6","16.9","8.5","18.6","3.4","3.4","10.2",".",".",".",".",".","1.7",".","."
"Stellar Astrophysics","310
001","19","2.833","21.1","15.8","21.1","5.3","26.3",".","5.3","5.3",".",".",".",".",".",".",".","."
"Experience-Astronom Observ","460
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Astrophysics","700
001","6","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Observational Cosmology","735
001","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Seminar in Astrophysics","910
001","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","18","4.000","33.3",".",".",".",".",".",".","61.1","5.6",".",".",".",".",".",".","."
