"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
002","20","3.400","50.0","10.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","101
003","20","3.725","70.0","5.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
101","22","3.136","27.3",".","59.1",".","13.6",".",".",".",".",".",".",".",".",".",".","."
"","005
101","18","3.333","38.9","5.6","44.4","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","101
006","22","3.333","45.5","4.5","31.8","4.5","4.5","4.5",".","4.5",".",".",".",".",".",".",".","."
"","101
007","15","3.233","26.7","6.7","60.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","101
008","12","3.591","41.7","25.0","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"First Semester German","Course Total","129","3.382","43.4","7.0","38.0","3.1","6.2","0.8",".","1.6",".",".",".",".",".",".",".","."
"","102
002","20","3.325","45.0","15.0","20.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","102
003","13","3.577","53.8","23.1","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","102
004","23","3.114","43.5","8.7","17.4","4.3","8.7","13.0",".","4.3",".",".",".",".",".",".",".","."
"","102
005","10","3.667","50.0","20.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","66","3.352","47.0","15.2","18.2","4.5","6.1","6.1",".","3.0",".",".",".",".",".",".",".","."
"","001
111","12","2.737","16.7","25.0","16.7","8.3",".","8.3","8.3","16.7",".",".",".",".",".",".",".","."
"","111
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Dutch","Course Total","13","2.750","15.4","23.1","23.1","7.7",".","7.7","7.7","15.4",".",".",".",".",".",".",".","."
"Intensive German I","171
001","9","3.676","55.6","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","17","3.588","47.1","35.3","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","18","2.944","16.7","5.6","38.9","27.8","11.1",".",".",".",".",".",".",".",".",".",".","."
"","203
003","17","3.029","23.5","11.8","47.1","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","203
004","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
005","20","3.250","10.0","30.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
007","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
203","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","139","3.514","49.6","18.0","23.7","5.8","2.2",".","0.7",".",".",".",".",".",".",".",".","."
"","204
001","21","3.878","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
204","22","3.659","68.2","13.6","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","204
003","23","3.261","21.7","30.4","30.4","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"","204
004","20","3.200","20.0","25.0","35.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","005
204","24","3.875","79.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","110","3.580","54.5","20.0","16.4","5.5","3.6",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Dutch","213
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","221
001","20","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
221","14","3.292","14.3","28.6","35.7","7.1",".",".",".","14.3",".",".",".",".",".",".",".","."
"Readings-German Literature","Course Total","34","3.578","35.3","41.2","14.7","2.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Intro to German Literature","222
001","23","3.273","34.8","21.7","21.7","13.0",".",".","4.3",".",".",".",".",".",".","4.3",".","."
"","225
001","19","3.483","36.8","21.1","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
002","20","3.100","30.0","10.0","30.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","225
003","18","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
225","16","3.156","31.3","18.8","18.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".","."
"","225
006","18","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
007","19","3.658","47.4","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
225","17","3.647","41.2","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
