"PHILOSOPHY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","",""
"","101","001","","76","3.410","32.9","22.4","34.2",".","5.3",".",".","2.6",".",".",".",".",".","2.6",".","."
"","101","002","","94","3.069","16.0","26.6","28.7","19.1","7.4","1.1","1.1",".",".",".",".",".",".",".",".","."
"","101","003","","84","3.127","25.0","19.0","28.6","17.9","6.0",".","2.4",".",".",".",".",".",".","1.2",".","."
"","101","004","","92","2.690","14.1","16.3","20.7","17.4","21.7","6.5","3.3",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","","Course Total","","346","3.053","21.4","21.1","27.7","14.2","10.4","2.0","1.7","0.6",".",".",".",".",".","0.9",".","."
"Intro to Social Philosophy","102","001","","56","2.991","1.8","25.0","46.4","19.6","1.8","1.8",".","1.8",".",".",".",".",".",".",".","1.8"
"Spec Topics:Philos-Freshmen","104","001","","13","3.346","23.1","46.2","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","210","001","","87","3.213","25.3","20.7","35.6","10.3","6.9","1.1",".",".",".",".",".",".",".",".",".","."
"","211","001","","67","3.348","29.9","31.3","22.4","10.4","3.0","1.5",".","1.5",".",".",".",".",".",".",".","."
"","211","002","","61","3.025","27.9","19.7","21.3","8.2","11.5","4.9","3.3","3.3",".",".",".",".",".",".",".","."
"Elementary Logic","","Course Total","","128","3.196","28.9","25.8","21.9","9.4","7.0","3.1","1.6","2.3",".",".",".",".",".",".",".","."
"Philosophy and the Sciences","220","001","","42","3.512","33.3","40.5","19.0","2.4","2.4",".",".",".",".",".",".",".",".","2.4",".","."
"Introductory Ethics","241","001","","74","3.236","18.9","33.8","28.4","5.4","6.8",".","1.4","5.4",".",".",".",".",".",".",".","."
"Philosophy of the Arts","253","001","","61","3.802","60.7","31.1","3.3",".",".",".",".","3.3",".",".",".",".",".","1.6",".","."
"Humanity, Religion&Society","258","001","","40","3.111","17.5","25.0","27.5","15.0",".","2.5","2.5","2.5",".",".",".",".",".","7.5",".","."
"","341","001","","62","3.040","9.7","33.9","35.5","12.9","3.2","1.6","3.2",".",".",".",".",".",".",".",".","."
"","341","002","","82","2.883","17.1","11.0","40.2","9.8","14.6","3.7","2.4","1.2",".",".",".",".",".",".",".","."
"","341","003","","80","2.969","12.5","16.3","31.3","32.5","7.5",".",".",".",".",".",".",".",".",".",".","."
"","341","091","","13","3.500","15.4","69.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341","092","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341","093","","19","3.447","36.8","36.8","15.8",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","341","094","","43","3.558","51.2","23.3","23.3",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"","341","095","","17","3.324","35.3","23.5","23.5","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","341","096","","20","3.350","30.0","30.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","","Course Total","","355","3.167","25.1","22.8","29.6","12.7","7.0","1.1","1.4","0.3",".",".",".",".",".",".",".","."
"Hist of Ancient Philosophy","430","001","","53","3.327","15.1","45.3","32.1","3.8",".","1.9",".","1.9",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432","001","","48","3.240","29.2","27.1","27.1","8.3","4.2","2.1","2.1",".",".",".",".",".",".",".",".","."
"American Philosophy","439","001","","9","3.313","33.3","11.1","33.3",".","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"French Philos-Existentialsm","440","001","","51","3.061","9.8","25.5","39.2","17.6","2.0",".","2.0","2.0",".",".",".",".",".",".","2.0","."
"Environmental Ethics","441","001","","45","3.279","11.1","42.2","33.3","6.7","2.2",".",".","2.2",".",".",".",".",".",".","2.2","."
"Classical Philosophers","454","001","","22","3.738","45.5","50.0",".",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"Junior Honors Seminar","481","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Philosophy of Religion","501","001","","24","3.696","54.2","25.0","16.7",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Language and Meaning","516","001","","20","3.778","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Philosophy of Mathematics","519","001","","19","3.647","36.8","47.4",".","5.3",".",".",".","5.3",".",".",".",".","5.3",".",".","."
"Philos of Natural Sciences","520","001","","10","3.500","30.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".","20.0",".","."
"Philosophy and Literature","526","001","","23","3.217","17.4","34.8","30.4","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"Modern Philosophies of Ed","540","001","","6","3.600","50.0",".","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Philos Concepts-Tch&Learng","545","001","","13","3.346","23.1","53.8",".","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Aesthetic Theories","552","001","","12","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aesthetics","553","001","","17","3.563","58.8","11.8","17.6",".",".","5.9",".",".",".",".",".",".",".","5.9",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 262 of 375",""
