"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","",""
"","100
001","162","2.664","8.0","16.7","26.5","19.8","20.4","6.2","2.5",".",".",".",".",".",".",".",".","."
"","002
100","165","2.738","15.2","15.2","18.8","18.2","23.0","7.3","0.6","1.2",".",".",".",".",".",".",".","0.6"
"General Anthropology","Course Total","327","2.701","11.6","15.9","22.6","19.0","21.7","6.7","1.5","0.6",".",".",".",".",".",".",".","0.3"
"Archaeology & Prehist World","102
001","113","3.071","26.5","15.0","36.3","6.2","11.5","0.9","3.5",".",".",".",".",".",".",".",".","."
"","104
001","518","3.216","21.0","32.4","28.2","8.7","6.2","1.0","1.2","1.2",".",".",".",".",".",".",".","0.2"
"","104
002","327","3.191","25.7","28.7","24.5","9.8","6.1","3.7","0.9","0.6",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","Course Total","845","3.206","22.8","31.0","26.7","9.1","6.2","2.0","1.1","0.9",".",".",".",".",".",".",".","0.1"
"Intro Human Biology","105
001","221","2.752","16.7","6.8","35.7","6.3","28.1","4.1","1.8",".",".",".",".",".",".","0.5",".","."
"Human Biology Laboratory","001
106","24","3.333","41.7","25.0","12.5","8.3","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","32","2.661","6.3","15.6","25.0","12.5","34.4","3.1",".",".",".",".",".",".",".","3.1",".","."
"Cult Anthro:Thry&Ethnogrphy","300
001","67","3.449","32.8","40.3","17.9","3.0","3.0",".","1.5","1.5",".",".",".",".",".",".",".","."
"","001
301","11","2.182","18.2","18.2","9.1",".","27.3",".","27.3",".",".",".",".",".",".",".",".","."
"","301
002","13","3.231","30.8","23.1","30.8","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","Course Total","24","2.750","25.0","20.8","20.8","4.2","12.5","4.2","12.5",".",".",".",".",".",".",".",".","."
"Human Evolution","302
001","48","3.362","27.1","39.6","14.6","10.4","6.3",".",".","2.1",".",".",".",".",".",".",".","."
"","310
001","28","3.963","92.9",".","3.6",".",".",".",".",".",".",".",".",".",".","3.6",".","."
"","310
002","25","2.958","24.0","20.0","16.0","12.0","16.0","8.0",".","4.0",".",".",".",".",".",".",".","."
"Topics in Archaeology","Course Total","53","3.490","60.4","9.4","9.4","5.7","7.5","3.8",".","1.9",".",".",".",".",".","1.9",".","."
"Indians of North America","314
001","99","2.779","9.1","11.1","36.4","17.2","18.2","3.0","1.0","3.0",".",".",".",".",".","1.0",".","."
"Emergence of Human Culture","321
001","88","3.063","31.8","13.6","22.7","12.5","13.6","4.5","1.1",".",".",".",".",".",".",".",".","."
"","330
001","22","3.903","77.3","9.1","4.5",".",".",".",".","4.5",".",".",".",".","4.5",".",".","."
"","330
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Ethnology","Course Total","23","3.815","73.9","8.7","4.3",".","4.3",".",".","4.3",".",".",".",".","4.3",".",".","."
"Anthropology of Religion","343
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Political Anthropology","350
001","31","3.615","38.7","45.2","16.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Quechua","361
001","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"Intermediate Quechua","363
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"The Anthropology of War","374
001","33","3.859","69.7","27.3",".",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Evolution of Genus, Homo","411
001","15","3.567","40.0","33.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language and Culture","430
001","11","3.338","18.2","27.3","45.5",".",".",".",".",".",".",".",".",".",".",".",".","9.1"
"Functn&Evolutn Biol-Primate","438
001","13","3.462","30.8","38.5","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Primate Behavioral Ecology","458
001","37","3.068","21.6","32.4","27.0","2.7","2.7","13.5",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","490
001","20","3.579","50.0","15.0","25.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".","."
"Anthropology and Education","570
001","19","3.289","15.8","47.4","15.8","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem-Biologicl Anthroplgy","601
001","16","3.536","31.3","31.3","25.0",".",".",".",".",".",".",".",".",".","6.3","6.3",".","."
"Senior Honors Thesis","681
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
003","15","3.870","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Anthropology","Course Total","22","3.912","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","696
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","696
063","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 154 of 375",""
