"FOOD SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","",""
"","120
001","111","2.833","5.4","26.1","29.7","15.3","14.4","6.3",".","2.7",".",".",".",".",".",".",".","."
"","120
002","105","2.851","8.6","19.0","32.4","20.0","15.2","3.8",".",".",".",".",".",".",".","1.0",".","."
"","120
003","89","3.017","15.7","22.5","29.2","19.1","6.7","4.5",".","2.2",".",".",".",".",".",".",".","."
"Science of Food","Course Total","305","2.893","9.5","22.6","30.5","18.0","12.5","4.9",".","1.6",".",".",".",".",".","0.3",".","."
"Prof-Dietetics & Nutrition","200
001","34","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Nature of Food","235
001","69","3.090","33.3","10.1","26.1","4.3","18.8","4.3",".","2.9",".",".",".",".",".",".",".","."
"","236
001","13","3.808","84.6","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","236
002","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236
003","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Food - Laboratory","Course Total","37","3.811","75.7","16.2","5.4",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"","299
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"Analysis of Food Products","001
310","19","3.158","47.4",".","15.8","21.1","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology Lab","324
001","11","3.318","27.3","27.3","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology","325
001","59","3.644","50.8","30.5","15.3","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
001","12","3.000","50.0",".","33.3",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","2","***","","","","","","","","","","","","","","","",""
"Food Service Operations","437
001","45","3.244","8.9","42.2","40.0","6.7","2.2",".",".",".",".",".",".",".",".",".",".","."
"","438
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
438","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","34","3.956","91.2","8.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Serv Operations CUP","439
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Principles of Food Engr","440
001","19","2.500","21.1","5.3","21.1",".","31.6","21.1",".",".",".",".",".",".",".",".",".","."
"Principles of Food Chem-Lab","512
001","16","3.031","18.8","31.3","25.0","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Food Processing I","530
001","24","2.708","12.5","12.5","41.7","4.2","12.5","16.7",".",".",".",".",".",".",".",".",".","."
"Phase Transitions in Foods","640
001","10","3.600","20.0","80.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","8","3.824","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Food Toxicology","001
704","6","3.700","33.3","50.0",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Colloid Chemistry of Foods","718
001","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 20 of 375"
