"","990
047","3","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
048","3","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
052","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","9","4.000","100.0",".",".",".",".","",".",".","",".",".",".","",".","",".","",".",".",".","."
"OBS&GYN
436","Dept. Total","108","3.413","38.0","39.8","13.0",".","4.6","",".","2.8","",".","0.9",".","",".","",".","",".",".",".","0.9"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".","",".",".","",".",".",".","",".","",".","",".",".",".","."
"Senior","","2","4.000","100.0",".",".",".",".","",".",".","",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","3","4.000","100.0",".",".",".",".","",".",".","",".",".",".","",".","",".","",".",".",".","."
"Special","","1","",".",".",".",".",".","",".",".","",".",".",".","",".","",".","",".",".",".","100.0"
"Graduate","","9","4.000","100.0",".",".",".",".","",".",".","",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","2","3.500",".","100.0",".",".",".","",".",".","",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","14","3.607","28.6","64.3","7.1",".",".","",".",".","",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","67","3.265","26.9","40.3","19.4",".","7.5","",".","4.5","",".","1.5",".","",".","",".","",".",".",".","."
"Prof Yr 4","","12","3.792","58.3","41.7",".",".",".","",".",".","",".",".",".","",".","",".","",".",".",".","."
"Professionals","","95","3.370","30.5","45.3","14.7",".","5.3","",".","3.2","",".","1.1",".","",".","",".","",".",".",".","."
"","Dept. Total","108","3.413","38.0","39.8","13.0",".","4.6","",".","2.8","",".","0.9",".","",".","",".","",".",".",".","0.9"
