"RELIGIOUS STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","",""
"Westrn Relig&Intellect Hist","208
001","17","2.969","5.9","29.4","41.2","11.8",".",".","5.9",".",".",".",".",".","5.9",".",".","."
"Lt Tran:Dante-Divine Comedy","253
001","8","2.750","12.5",".","62.5",".","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"Sociol&Intel Hist 400-1200","317
001","6","2.917",".","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"The Protestant Reformation","334
001","13","3.557","38.5","7.7","30.8",".",".",".",".","15.4",".",".",".",".",".",".","7.7","."
"I-Ching-Book of Change","340
001","45","3.512","28.9","40.0","20.0",".","2.2",".",".","4.4",".",".",".",".","4.4",".",".","."
"Intro to Biblical Lit","361
001","57","2.868","28.1","15.8","21.1","10.5","12.3","5.3","7.0",".",".",".",".",".",".",".",".","."
"Ethnic & Minorty Relig-Amer","369
001","34","3.515","32.4","41.2","17.6","5.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"Philosophy of Religion","501
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Poetry in Hindi: 1500-1700","551
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Studies-S Asian Religions","620
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"RELIG ST
856","Dept. Total","190","3.221","27.4","27.4","23.7","6.8","4.7","2.1","2.6","2.6",".",".",".",".","1.6",".","0.5","0.5"
