"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"564
Adv Prob-Tchg Foreign Lang","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"566
Pract-Spec Ed in the Arts","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"567
Iss, Mtls & Mthds-Hlth Educ","001","","17","3.676","47.1","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Art-Exceptional Education","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590
Adv Pract-Teaching Science","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"596
Adv Prac-Tch Engl Secn Schl","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Methods-Instructn w/Technol","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"605
Intro-Video Production-Educ","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Criticl Educ Pract-Internet","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"660
Early Childhood Education","001","","29","3.741","62.1","27.6","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"675","001","","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","20","3.900","95.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"675","003","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","004","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","005","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","006","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","007","","7","3.571","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"675","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"General Seminar","Course Total","","107","3.926","92.5","3.7","1.9","0.9","0.9",".",".",".",".",".",".",".",".",".",".","."
"690","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","052","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Field Work","Course Total","","14","3.839","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
School Practicum in Com Dis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","15","3.530","60.0","20.0",".",".",".",".","6.7",".",".",".",".","13.3",".",".",".","."
"701
Analys-Computers in Curric","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Curric Dev-Desk Cmptr Envir","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Curriculum Planning","001","","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"714
Research & Eval Paradigms","001","","9","3.875","66.7","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"715
Design of Rsch in Curric","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
