"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Introduction-Dramatic Arts","120
001","327","3.212","28.1","22.6","30.0","8.6","7.3","1.5","1.2","0.3",".",".",".",".",".","0.3",".","."
"","140
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","140
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Voice Training","Course Total","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","19","3.737","84.2","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","150
003","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
150","19","3.737","84.2","5.3",".","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","150
005","23","3.891","87.0","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","006
150","22","3.841","90.9","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","150
008","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
009","20","3.650","50.0","40.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","138","3.804","79.7","14.5","1.4","1.4","0.7","1.4","0.7",".",".",".",".",".",".",".",".","."
"","161
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","25","3.840","80.0","16.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Fund-Stage Mkup,Hair,Costum","001
163","14","3.279","42.9","14.3","35.7",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","170
001","22","2.813","18.2","13.6","22.7","27.3","13.6",".","4.5",".",".",".",".",".",".",".",".","."
"Writing-Theatre&Performance","001
200","19","2.974","5.3","15.8","57.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"Wrld Theatre & Drama to 18c","221
001","65","2.722","10.8","13.8","33.8","15.4","12.3","7.7","3.1","1.5",".",".",".",".",".","1.5",".","."
"Problems in Acting","250
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
001","14","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
340","12","3.750","83.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Mask and Movement","Course Total","26","3.615","65.4",".","30.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","22","3.796","63.6","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
362","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
362","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","8","3.625","62.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Drama in Ed:Pre-Middle Schl","Course Total","53","3.783","67.9","24.5","5.7",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","25","3.188","28.0","36.0","20.0","4.0","4.0","8.0",".",".",".",".",".",".",".",".",".","."
"Drafting for the Theatre","370
001","8","2.960","37.5","25.0","12.5",".","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"Set Design I","372
001","15","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Management","379
001","15","3.800","80.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Contemp Fem Theatre&Critcsm","415
001","19","3.553","36.8","36.8","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Styles","450
001","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Shakespeare in Performance","541
001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 301 of 375",""
