"ALS","","","","","","","","","","","","","","","","","","","",""
"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"Survey of Horticulture","120
001","","68","2.904","16.2","10.3","38.2","8.8","26.5",".",".",".",".",".",".",".",".",".",".","."
"Introductory Horticulture","122
001","","33","3.136","33.3","15.2","21.2","6.1","24.2",".",".",".",".",".",".",".",".",".",".","."
"Turf Management","261
001","","21","2.881","23.8","4.8","38.1","9.5","19.0",".","4.8",".",".",".",".",".",".",".",".","."
"","263
001","","21","2.762","28.6","14.3","4.8","14.3","23.8","14.3",".",".",".",".",".",".",".",".",".","."
"","002
263","","16","2.938","31.3","6.3","25.0","18.8","6.3","12.5",".",".",".",".",".",".",".",".",".","."
"Landscape Plants I","Course Total","","37","2.838","29.7","10.8","13.5","16.2","16.2","13.5",".",".",".",".",".",".",".",".",".","."
"","299
011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.357","50.0",".","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Disease-Landscp Trees&Shrub","309
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Integrated Weed Management","328
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Nutrient Managmnt:Turfgrass","332
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Nutrnt Mgmt: Nursery Trees","336
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Plant Breeding&Biotechnolgy","338
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prod&Maint Landscpe Plts","360
001","","18","3.278","11.1","38.9","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Plants Lab","361
001","","16","3.656","68.8","18.8","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Vegetables:PlantMatls&Princ","371
001","","25","3.160","36.0","4.0","36.0","4.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Vegetables:Prod-Fresh Markt","372
001","","22","3.250","22.7","27.3","31.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","18","3.444","27.8","44.4","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
375","","11","3.031","18.2","18.2","27.3","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","29","3.291","24.1","34.5","20.7","13.8","6.9",".",".",".",".",".",".",".",".",".",".","."
"","399
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Molec Approach-Crop Improvt","550
001","","15","3.000","20.0","20.0","20.0","20.0","6.7","6.7",".","6.7",".",".",".",".",".",".",".","."
"","571
001","","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571
002","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","20","3.625","45.0","35.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mineral Nutrition of Plants","626
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Biometric Proc-Plnt Breedng","811
001","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Seminar in Crop Physiology","950
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Plant Breeding","957
001","","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
