"LANGUAGES AND CULTURES O Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"910
LANGASIA","","","","","","","","","","","","","","","","","","","",""
"551
Poetry in Hindi: 1500-1700","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"615
Writing Travels","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"620
Studies-S Asian Religions","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799
Independent Study","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"852
Civs of India-Modern Period","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"857
Smr-Hist of India (S Asia)","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"864
Indo-Tibet Buddhst Doctrine","001","","7","4.000","42.9",".",".",".",".",".",".","28.6",".",".",".",".","14.3","14.3",".","."
"866
Spec Topics-South Asian St","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915
Smr:Intrdis Approach-S Asia","001","","16","3.833","62.5","31.3",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","17","4.000","47.1",".",".",".",".",".",".","35.3",".",".",".","17.6",".",".",".","."
