"FOOD SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","",""
"Practicum-Food Sci Teaching","Course Total","2","***","","","","","","","","","","","","","","","",""
"900
Seminar Advanced","001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","7","4.000","14.3",".",".",".",".",".",".","28.6",".",".",".","57.1",".",".",".","."
"990","028","10","4.000","40.0",".",".",".",".",".",".","30.0",".",".",".","30.0",".",".",".","."
"990","032","8","4.000","12.5",".",".",".",".",".",".","37.5",".",".",".","50.0",".",".",".","."
"990","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","62","3.864","25.8","1.6","1.6",".","1.6",".",".","30.6",".",".",".","38.7",".",".",".","."
"FOOD SCI
390","Dept. Total","810","3.139","26.7","19.0","21.5","8.9","8.1","3.3","0.4","3.3",".","5.7",".","3.0",".","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","42","2.685","21.4","14.3","16.7","9.5","14.3","16.7",".",".",".","7.1",".",".",".",".",".","."
"Sophomore","","176","2.914","13.6","15.9","29.0","12.5","15.3","1.7",".",".",".","11.4",".",".",".","0.6",".","."
"Junior","","173","3.105","24.9","19.7","25.4","14.5","4.6","3.5",".","0.6",".","6.9",".",".",".",".",".","."
"Senior","","293","3.179","33.8","20.8","20.8","7.2","7.8","3.8","1.0","2.0",".","2.7",".",".",".",".",".","."
"Undergraduates","","684","3.059","25.6","18.9","23.8","10.5","9.4","3.9","0.4","1.0",".","6.3",".",".",".","0.1",".","."
"Special","","10","3.563","30.0","40.0","20.0",".",".",".",".",".",".","10.0",".",".",".",".",".","."
"Graduate","","116","3.730","32.8","18.1","7.8",".","1.7",".",".","17.2",".","1.7",".","20.7",".",".",".","."
"","Dept. Total","810","3.139","26.7","19.0","21.5","8.9","8.1","3.3","0.4","3.3",".","5.7",".","3.0",".","0.1",".","."
