"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"100","001","","236","2.957","22.9","19.1","24.2","11.4","14.4","5.1","2.1","0.8",".",".",".",".",".",".",".","."
"100","003","","110","2.732","16.4","18.2","26.4","8.2","18.2","8.2","4.5",".",".",".",".",".",".",".",".","."
"Weather and Climate","Course Total","","346","2.885","20.8","18.8","24.9","10.4","15.6","6.1","2.9","0.6",".",".",".",".",".",".",".","."
"101
Weather and Climate","001","","141","3.213","34.0","22.0","24.1","10.6","3.5","2.1","3.5",".",".",".",".",".",".",".",".","."
"105
Survey of Oceanography","001","","29","2.500","10.3","10.3","34.5","6.9","20.7","10.3","6.9",".",".",".",".",".",".",".",".","."
"121","001","","42","3.085","26.2","19.0","26.2","11.9","7.1","7.1",".","2.4",".",".",".",".",".",".",".","."
"121","002","","55","2.691","10.9","12.7","27.3","16.4","27.3","3.6","1.8",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","Course Total","","97","2.859","17.5","15.5","26.8","14.4","18.6","5.2","1.0","1.0",".",".",".",".",".",".",".","."
"171","001","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"171","092","","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","Course Total","","23","3.603","43.5","34.8","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"310
Dynamics-Atmosphere&Ocean I","001","","23","2.804","21.7",".","30.4","13.0","34.8",".",".",".",".",".",".",".",".",".",".","."
"330
Physics-Atmosphere&Ocean I","001","","22","3.000","18.2","22.7","22.7","22.7","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"425
Global Climate Processes","001","","11","3.227","18.2","36.4","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"452
Syn Lab I:Frontal Cyclone","001","","17","2.941","17.6","5.9","41.2","17.6","17.6",".",".",".",".",".",".",".",".",".",".","."
"550
Meteorological Instrmntatn","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"559
Weekly Weather Watch","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"610
Geophys Fluid Dynamics I","001","","12","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Electronic Aids to Measmnt","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630
Intro to Atm & Ocn Physics","001","","16","3.563","43.8","25.0","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"638
Atmospheric Chemistry","001","","7","3.667","42.9","28.6","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"660
Intro-Physical Oceanography","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"698
Directed Study","029","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"718
Dynamics-Moist Convectv Sys","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar-Climatology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"931
Seminar-Cloud Physics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980
Earth System Sci Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","8","4.000","12.5",".",".",".",".",".",".","62.5",".",".",".","25.0",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 249 of 375",""
