"COMMUNICATIVE DISORDERS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","83","3.299","33.7","19.3","34.9","3.6","2.4","4.8",".","1.2",".",".",".",".",".",".",".","."
"Introduction to Phonetics","200","001","31","3.452","45.2","32.3","6.5","6.5","6.5","3.2",".",".",".",".",".",".",".",".",".","."
"Speech Science","201","001","59","2.897","11.9","16.9","30.5","27.1","6.8","5.1",".","1.7",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","60","3.424","33.3","36.7","15.0","6.7","6.7",".",".","1.7",".",".",".",".",".",".",".","."
"Speech & Lang Functs-Brain","210","001","52","3.365","25.0","38.5","25.0","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","103","3.325","22.3","39.8","25.2","7.8","3.9","1.0",".",".",".",".",".",".",".",".",".","."
"Speech Acoustics,Perception","303","001","51","3.310","27.5","27.5","33.3","5.9","2.0",".","2.0",".",".",".",".",".",".","2.0",".","."
"Speech Pathology I","315","001","59","3.720","62.7","18.6","18.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","30","3.817","73.3","16.7","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Comm Disorders","","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Conservation","421","001","39","3.154","25.6","12.8","38.5","17.9","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"Manually Coded English-SL I","424","001","16","3.688","56.3","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","31","3.548","45.2","22.6","29.0","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Neurl Mech Speech,Hear&Lang","503","001","49","3.980","98.0",".","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internet Resources-Com Dis","510","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Grand Rounds","590","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn","640","001","27","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Practicum in Com Dis","692","001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Audiol-Speech/Lang Pathlgst","700","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dysphasia in Adults","712","001","46","3.609","32.6","56.5","10.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Treatment of Stuttering","719","001","48","3.563","29.2","54.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aug Com Sys-Severly Handcp","731","001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","15","3.733","73.3","13.3",".","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","15","3.875","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","14","3.933","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","58","3.861","81.0","12.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","791","001","10","3.870","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","791","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","791","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","791","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
