"","999
032","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
036","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
038","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","17","3.943","82.4","11.8",".",".","",".","",".",".",".","",".",".","",".","5.9",".",".",".","."
"ELPA
305","Dept. Total","516","3.914","75.6","9.5","2.1",".","",".","",".","0.2","6.8","",".",".","",".","4.3","1.2","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","1","",".",".",".",".","",".","",".",".","100.0","",".",".","",".",".",".",".",".","."
"Senior","","5","3.833","80.0","20.0",".",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","7","3.857","71.4","14.3",".",".","",".","",".",".","14.3","",".",".","",".",".",".",".",".","."
"Special","","98","3.854","73.5","10.2","3.1",".","",".","",".","1.0","10.2","",".",".","",".",".","2.0",".",".","."
"Graduate","","410","3.929","76.3","9.0","2.0",".","",".","",".",".","5.9","",".",".","",".","5.4","1.0","0.5",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","516","3.914","75.6","9.5","2.1",".","",".","",".","0.2","6.8","",".",".","",".","4.3","1.2","0.4",".","."
