"BUS","","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"Managing Legal Environment","Course Total","","73","3.849","69.9","30.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
001","","25","3.542","52.0","8.0","32.0",".","4.0",".",".",".",".",".",".",".",".","4.0",".","."
"","704
002","","38","3.553","52.6","15.8","23.7","5.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"","704
003","","30","3.833","76.7","13.3","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Analysis for Managers","Course Total","","93","3.641","60.2","12.9","21.5","2.2","2.2",".",".",".",".",".",".",".",".","1.1",".","."
"","706
001","","45","3.622","53.3","17.8","28.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","","42","3.845","81.0","9.5","7.1","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Statistical Methods I","Course Total","","87","3.730","66.7","13.8","18.4","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"","001
710","","23","3.565","52.2","21.7","13.0","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
710","","24","3.761","58.3","29.2","8.3",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"","003
710","","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics & Social Responsblty","Course Total","","66","3.708","57.6","28.8","7.6","4.5",".",".",".",".",".",".",".",".",".","1.5",".","."
"","765
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","7","3.583","14.3","71.4",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"PhD Thesis-Gen Ind Rsch","990
078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"GEN BUS
231","Dept. Total","","1935","3.307","32.0","26.2","26.0","6.6","7.6","0.5","0.2","0.3",".","0.5",".",".",".","0.2",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","60","2.972","26.7","15.0","10.0","13.3","16.7","6.7",".",".",".","11.7",".",".",".",".",".","."
"Sophomore","","","147","2.993","17.7","20.4","25.2","18.4","15.6","1.4",".",".",".","1.4",".",".",".",".",".","."
"Junior","","","519","3.252","19.5","28.7","41.0","5.0","5.4","0.4",".",".",".",".",".",".",".",".",".","."
"Senior","","","783","3.277","30.0","26.2","25.0","7.2","10.7","0.1","0.3","0.5",".",".",".",".",".",".",".","."
"Undergraduates","","","1509","3.230","25.0","26.0","30.0","7.8","9.6","0.6","0.1","0.3",".","0.6",".",".",".",".",".","."
"Special","","","13","3.226","15.4","38.5","23.1","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"Graduate","","","410","3.695","58.3","26.3","11.7","2.0","0.2",".","0.5","0.2",".",".",".",".",".","0.7",".","."
"Prof Yr 3","","","3","2.786",".","33.3",".","33.3","33.3",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","","3","2.786",".","33.3",".","33.3","33.3",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","","1935","3.307","32.0","26.2","26.0","6.6","7.6","0.5","0.2","0.3",".","0.5",".",".",".","0.2",".","."
