"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"330
Thermodynamics of Materials","001","","39","3.355","15.4","43.6","33.3","5.1",".",".",".",".",".",".",".",".",".",".","2.6","."
"332
Macroprocessing-Materials","001","","30","3.233","20.0","33.3","30.0","13.3",".","3.3",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","231","3.207","19.0","30.7","34.2","8.7","5.2","0.9","0.9",".",".",".",".",".","0.4",".",".","."
"351
Struct&Property Rels-Solids","001","","43","2.965","16.3","16.3","25.6","32.6","7.0","2.3",".",".",".",".",".",".",".",".",".","."
"360","001","","11","3.409","36.4","27.3","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"360","002","","9","3.222","55.6","11.1","11.1","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"360","003","","13","3.385","23.1","46.2","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"360","004","","12","3.333","8.3","50.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory I","Course Total","","45","3.344","28.9","35.6","24.4","6.7","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"362
Materials Laboratory III","001","","28","3.375","14.3","50.0","32.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"441
Deformation of Solids","001","","23","3.130","21.7","17.4","39.1","8.7","13.0",".",".",".",".",".",".",".",".",".",".","."
"448
Crystallog & Xray Diffractn","001","","25","3.720","60.0","28.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"451
Intro to Ceramic Materials","001","","26","3.365","30.8","26.9","38.5",".",".","3.8",".",".",".",".",".",".",".",".",".","."
"456
Elec,Opt&Mag Prop of Materials","001","","18","3.500","44.4","27.8","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"463
Matrls-Elevated Temp Serv","001","","14","3.429","35.7","21.4","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"470
Capstone Project I","001","","17","3.844","64.7","29.4",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"560
Fundamentls-Atomistic Modeling","001","","14","3.808","71.4","7.1","14.3",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"570
Properties-Solid Surfaces","001","","36","3.439","27.8","30.6","30.6",".","2.8",".",".","8.3",".",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","3.920","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"756
Advanced Electronic Materials","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","26","",".",".",".",".",".",".",".","57.7",".",".",".","42.3",".",".",".","."
"803","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","9","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"803","007","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
