"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"802
The Structure of Russian","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Slavic Lit & Culture","Course Total","","17","4.000","82.4",".",".",".",".",".",".","5.9",".",".",".",".","11.8",".",".","."
"991","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Research-Slavic Lit","Course Total","","12","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
