"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Plants, Parasites, & People","123","001","97","2.969","14.4","16.5","40.2","14.4","12.4",".","2.1",".",".",".",".",".",".",".",".","."
"General Botany","130","001","142","3.035","29.6","12.0","28.9","6.3","19.7","1.4","2.1",".",".",".",".",".",".",".",".","."
"","151","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","151","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","151","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Introductory Biology","152","001","6","2.750",".","16.7","50.0",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Heredity","160","001","11","2.909","18.2","18.2","36.4",".","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","92","3.382","44.6","10.9","30.4","4.3","3.3","2.2","1.1",".",".",".",".",".","1.1","2.2",".","."
"Plant Anatomy","300","001","20","3.450","40.0","30.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Algae","330","001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biogeography","338","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Plant Biotech:Prin&Technique I","339","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Grassland Ecology","370","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Systematics","400","001","39","3.179","35.9","15.4","30.8","5.1","5.1","5.1","2.6",".",".",".",".",".",".",".",".","."
"Dendrology","402","001","11","3.773","72.7","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","410","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","410","002","18","3.306","38.9","22.2","11.1","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","","Course Total","21","3.214","33.3","23.8","9.5","19.0","14.3",".",".",".",".",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","30","3.172","26.7","10.0","40.0","10.0","10.0",".",".","3.3",".",".",".",".",".",".",".","."
"General Ecology","460","001","47","3.457","44.7","14.9","29.8","8.5","2.1",".",".",".",".",".",".",".",".",".",".","."
"General Genetics","466","001","24","2.188","8.3","12.5","20.8","8.3","29.2",".","20.8",".",".",".",".",".",".",".",".","."
"Ethnobotany","474","001","22","3.273","27.3","31.8","27.3","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"Special Topics","575","001","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Genetics","629","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adaptive Restoration Lab","670","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","24","3.927","87.5",".","8.3",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Algology: Fresh Water Algae","920","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Plant Systematics&Evolutn","940","001","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
