"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Linear Programming Methods","525","001","","10","3.100","50.0","20.0",".",".","10.0","20.0",".",".",".",".",".",".",".",".",".","."
"","541","001","","31","1.919","12.9","16.1","9.7","6.5","12.9","12.9","29.0",".",".",".",".",".",".",".",".","."
"","541","002","","38","3.184","44.7","5.3","26.3","5.3","10.5","7.9",".",".",".",".",".",".",".",".",".","."
"Modern Algebra","","Course Total","","69","2.616","30.4","10.1","18.8","5.8","11.6","10.1","13.0",".",".",".",".",".",".",".",".","."
"Elementary Topology","551","001","","32","2.224","25.0",".","18.8","3.1","12.5","12.5","18.8",".",".",".",".",".","9.4",".",".","."
"Elementary Number Theory","567","001","","23","2.935","26.1","13.0","21.7","17.4","13.0","8.7",".",".",".",".",".",".",".",".",".","."
"Mathematical Logic","571","001","","15","2.433","40.0","6.7","6.7",".","13.3","13.3","20.0",".",".",".",".",".",".",".",".","."
"Stochastic Methods for Biology","605","001","","30","3.217","53.3","10.0","10.0",".","20.0","3.3","3.3",".",".",".",".",".",".",".",".","."
"Complex Analysis","623","001","","14","3.214","42.9","14.3","21.4",".","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","22","3.136","40.9","9.1","18.2","9.1","18.2","4.5",".",".",".",".",".",".",".",".",".","."
"","681","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","109","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Methods of Applied Math 1","703","001","","19","3.711","63.2","15.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics","709","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714","001","","22","3.500","50.0","27.3","18.2",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"First Crse in Real Analysis","721","001","","35","3.614","57.1","22.9","11.4","2.9","5.7",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Optimization I","726","001","","6","3.500","50.0","16.7",".",".","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"Theory of Probability I","733","001","","15","3.393","26.7","33.3","26.7",".","6.7",".",".",".",".",".",".",".",".",".","6.7","."
"Abstract Algebra","741","001","","22","3.523","36.4","36.4","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology I","751","001","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Algebraic Topology I","753","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differentiable Manifolds","761","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Algebraic Geometry","763","001","","24","3.417","54.2","25.0","12.5",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Foundations of Mathematics","770","001","","14","3.625","35.7","35.7","14.3",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"Computability Theory","773","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlin Dyn,Bifurcatn,Chaos","777","001","","9","3.813","77.8",".",".","11.1",".",".",".",".",".",".",".",".",".","11.1",".","."
"Experimental Design I","803","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Partial Differential Equatn","819","001","","16","3.692","75.0",".",".",".",".",".","6.3",".",".",".",".",".","18.8",".",".","."
"Adv Topics-Funct Anal&Diff Eq","826","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourier Analysis","827","001","","23","4.000","95.7",".",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Elliptic Curves&Modular Forms","844","001","","17","3.750","76.5",".","11.8",".","5.9",".",".",".",".",".",".",".",".",".","5.9","."
"Topics in Combinatorics","846","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics in Foundations","873","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Analysis","921","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","941","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","941","005","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
