"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Hum Sexuality-Soc,Psych Iss","160
001","128","3.059","11.7","28.9","28.9","20.3","10.2",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Psychology","201
001","21","2.714","23.8","4.8","23.8","14.3","23.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"","202
001","315","2.666","16.2","15.9","12.7","22.2","22.2","7.3","3.2",".",".",".",".",".",".",".","0.3","."
"","002
202","126","2.544","15.9","7.9","20.6","11.1","30.2","11.1","2.4",".",".",".",".",".","0.8",".",".","."
"","003
202","252","2.673","14.3","13.1","17.5","23.8","22.6","7.1","1.6",".",".",".",".",".",".",".",".","."
"","202
004","341","2.699","16.4","17.3","12.6","19.4","24.9","6.7","2.3",".",".",".",".",".",".","0.3",".","."
"","202
005","321","2.793","16.5","23.1","11.2","21.2","19.6","5.0","2.8","0.3",".",".",".",".","0.3",".",".","."
"Introduction to Psychology","Course Total","1355","2.694","15.9","16.7","13.9","20.5","23.1","6.9","2.5","0.1",".",".",".",".","0.1","0.1","0.1","."
"","210
001","48","2.489","14.6","6.3","25.0","10.4","25.0","12.5","4.2",".",".",".",".",".",".",".",".","2.1"
"","210
002","60","2.617","16.7","3.3","28.3","10.0","31.7","10.0",".",".",".",".",".",".",".",".",".","."
"","003
210","61","2.615","14.8","8.2","26.2","9.8","31.1","8.2","1.6",".",".",".",".",".",".",".",".","."
"","210
004","54","2.667","14.8","9.3","25.9","13.0","29.6","5.6","1.9",".",".",".",".",".",".",".",".","."
"","210
005","48","2.691","16.7","6.3","27.1","16.7","25.0","2.1","4.2","2.1",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","271","2.617","15.5","6.6","26.6","11.8","28.8","7.7","2.2","0.4",".",".",".",".",".",".",".","0.4"
"Freshman Seminar in Psychology","211
001","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","42","3.000","19.0","21.4","31.0","11.9","11.9","2.4","2.4",".",".",".",".",".",".",".",".","."
"","002
225","38","3.135","13.2","31.6","31.6","10.5","10.5",".",".",".",".",".",".",".","2.6",".",".","."
"","003
225","46","3.022","17.4","21.7","23.9","21.7","10.9","2.2",".",".",".",".",".",".","2.2",".",".","."
"","004
225","44","2.943","15.9","15.9","36.4","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"Experimental Psychology","Course Total","170","3.021","16.5","22.4","30.6","14.7","11.8","2.4","0.6",".",".",".",".",".","1.2",".",".","."
"Honors Crse-Intro to Psych","281
001","19","3.500","42.1","31.6","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Psychology","311
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Psych-Graduate","325
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","386
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Psych for Honors","Course Total","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
002","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
062","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
074","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service Learning in Psychology","Course Total","44","3.968","93.2","2.3","2.3",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"","411
001","24","3.739","50.0","41.7","4.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","411
002","24","3.229","20.8","37.5","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","411
003","25","3.520","36.0","32.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
004","24","3.479","41.7","16.7","37.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","411
005","50","3.630","48.0","40.0","8.0","2.0",".","2.0",".",".",".",".",".",".",".",".",".","."
"","411
006","19","3.553","31.6","47.4","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
411","17","3.344","41.2","11.8","29.4","5.9",".","5.9",".","5.9",".",".",".",".",".",".",".","."
"","411
008","25","3.800","80.0","16.0",".",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","Page 284 of 403",""
