"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"100
Weather and Climate","001","","222","2.676","14.9","11.7","21.6","22.5","17.1","8.1","2.7","1.4",".",".",".",".",".",".",".","."
"101
Weather and Climate","001","","68","3.037","20.6","27.9","17.6","14.7","13.2","2.9","1.5","1.5",".",".",".",".",".",".",".","."
"310
Dynamics-Atmosphere&Ocean I","001","","19","3.132","15.8","21.1","42.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"330
Physics-Atmosphere&Ocean I","001","","19","2.868","15.8","10.5","26.3","36.8","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"331
Climatic Environments-Past","001","","13","3.115","7.7","38.5","30.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"425
Global Climate Processes","001","","27","3.380","29.6","37.0","14.8","3.7","3.7","3.7",".","7.4",".",".",".",".",".",".",".","."
"452
Syn Lab I:Frontal Cyclone","001","","26","3.154","38.5","15.4","11.5","15.4","15.4","3.8",".",".",".",".",".",".",".",".",".","."
"610
Geophys Fluid Dynamics I","001","","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Electronic Aids to Measmnt","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"630
Intro to Atm & Ocn Physics","001","","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Intro-Physical Oceanography","001","","13","2.731","15.4","7.7","38.5","15.4","7.7","15.4",".",".",".",".",".",".",".",".",".","."
"681","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"698","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"718
Dynamics-Moist Convectv Sys","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"801","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"801","002","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Theoretical Meteor","Course Total","","13","3.839","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","11","",".",".",".",".",".",".",".","9.1",".",".",".","81.8",".","9.1",".","."
"990","016","","6","",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".",".",".","."
"990","017","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","52","",".",".",".",".",".",".",".","59.6","5.8",".",".","32.7",".","1.9",".","."
