"L&S","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4416","3.048","30.8","17.2","18.5","12.4","13.2","4.3","1.2","1.1","",".",".","",".","0.7","0.5","0.0","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","976","2.704","14.1","16.5","18.2","19.8","22.4","6.7","2.3",".","",".",".","",".",".",".",".",".","."
"Sophomore","","921","2.845","19.7","15.7","20.8","18.0","18.5","5.4","1.4",".","",".",".","",".",".","0.1",".",".","0.3"
"Junior","","963","3.108","32.8","17.0","22.0","11.3","11.1","4.3","0.7","0.2","",".",".","",".","0.1","0.4",".",".","."
"Senior","","1207","3.354","43.9","20.6","17.6","6.3","5.7","2.6","0.7","0.1","",".",".","",".","1.6","0.9",".","0.1","."
"Undergraduates","","4067","3.024","28.6","17.7","19.5","13.4","13.9","4.6","1.2","0.1","",".",".","",".","0.5","0.4",".","0.0","0.1"
"Special","","68","2.908","25.0","17.6","11.8","5.9","20.6","2.9","2.9","10.3","",".",".","",".",".",".","1.5","1.5","."
"Graduate","","270","3.739","63.3","9.6","5.6","0.4","0.7","0.4","0.4","13.3","",".","0.4","",".","3.7","1.5",".","0.7","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","9","4.000","88.9",".",".",".",".",".",".","11.1","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","2","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","12","3.848","75.0","8.3","8.3",".",".",".",".","8.3","",".",".","",".",".",".",".",".","."
"","Dept. Total","4417","3.048","30.8","17.2","18.5","12.4","13.2","4.3","1.2","1.1","",".","0.0","",".","0.7","0.5","0.0","0.1","0.1"
