"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","13","3.900","76.9","7.7","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"720
Intro-Communication Thry&Rsch","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Topics in Mass Communication","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Colloquium:Mass Communicatn","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research","Course Total","","17","",".",".",".",".",".",".",".","88.2",".",".",".","11.8",".",".",".","."
