"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"990","036","","17","",".",".",".",".",".",".",".","76.5",".",".",".","23.5",".",".",".","."
"990","042","","8","",".",".",".",".",".",".",".","87.5",".",".",".",".","12.5",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","048","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","063","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","82","",".",".",".",".",".",".",".","73.2",".",".",".","23.2","3.7",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","057","","12","3.845","66.7","8.3",".","8.3",".",".",".",".",".",".",".",".","8.3",".","8.3","."
"999","061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","28","3.930","78.6","3.6",".","3.6",".",".",".",".",".",".",".",".","7.1",".","7.1","."
