"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","","255","2.589","11.8","9.8","21.2","22.7","23.5","7.1","2.7","0.4",".",".",".",".",".","0.4",".","0.4"
"","125
001","","23","",".",".",".",".",".",".",".","82.6",".",".",".",".",".",".","17.4","."
"","125
002","","20","4.000","10.0",".",".",".",".",".",".","70.0",".",".",".",".",".",".","20.0","."
"","125
003","","22","4.000","4.5",".",".",".",".",".",".","77.3",".",".",".",".",".",".","18.2","."
"","125
004","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Adapted Fitness&Pers Traing","Course Total","","81","4.000","3.7",".",".",".",".",".",".","81.5",".",".",".",".",".",".","14.8","."
"Intro to Yoga Practice","129
001","","28","3.500","42.9","10.7","28.6","7.1",".",".",".","10.7",".",".",".",".",".",".",".","."
"","134
001","","16","3.500","25.0","37.5","25.0",".",".",".",".","6.3",".",".",".",".","6.3",".",".","."
"","002
134","","18","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","","34","3.531","29.4","41.2","23.5",".",".",".",".","2.9",".",".",".",".","2.9",".",".","."
"","211
001","","18","3.719","77.8","5.6",".",".",".",".","5.6","11.1",".",".",".",".",".",".",".","."
"","211
002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","38","3.875","89.5","2.6",".",".",".",".","2.6","5.3",".",".",".",".",".",".",".","."
"Topics-Adv Fitness Training","230
001","","23","3.024","21.7","13.0","30.4",".","26.1",".",".","4.3","4.3",".",".",".",".",".",".","."
"","300
001","","16","3.967","87.5","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","300
002","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Physical Activity","Course Total","","36","3.957","91.7","2.8","2.8",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"PE ACTIV
740","Dept. Total","","495","2.895","25.7","9.5","15.8","12.1","13.3","3.6","1.6","14.9","0.2",".",".",".","0.4","0.2","2.4","0.2"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","152","2.821","23.0","9.9","19.7","19.1","21.7","3.9","1.3",".",".",".",".",".","0.7","0.7",".","."
"Sophomore","","","78","2.940","32.1","10.3","20.5","14.1","16.7","2.6","3.8",".",".",".",".",".",".",".",".","."
"Junior","","","60","2.782","31.7","3.3","25.0","18.3","13.3","5.0","3.3",".",".",".",".",".",".",".",".","."
"Senior","","","119","3.045","36.1","18.5","14.3","7.6","9.2","5.9",".","6.7","0.8",".",".",".",".",".",".","0.8"
"Undergraduates","","","409","2.890","29.8","11.5","19.1","14.7","15.9","4.4","1.7","2.0","0.2",".",".",".","0.2","0.2",".","0.2"
"Special","","","83","3.500","4.8",".",".",".","1.2",".",".","78.3",".",".",".",".","1.2",".","14.5","."
"Graduate","","","3","2.000","33.3",".",".",".",".",".","33.3","33.3",".",".",".",".",".",".",".","."
"","Dept. Total","","495","2.895","25.7","9.5","15.8","12.1","13.3","3.6","1.6","14.9","0.2",".",".",".","0.4","0.2","2.4","0.2"
