"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"INTL BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.500",".","100.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","53","3.090","28.3","18.9","22.6","13.2","11.3","3.8",".","",".","",".",".","",".","",".","",".","1.9",".","."
"Junior","","175","3.291","56.6","18.9","9.1","10.3","2.3","1.7","1.1","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","176","3.470","59.7","13.1","11.9","11.9","1.7","1.7",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","405","3.344","54.1","16.5","12.1","11.4","3.2","2.0","0.5","",".","",".",".","",".","",".","",".","0.2",".","."
"Special","","17","3.324","29.4","35.3","23.5","5.9",".","5.9",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","3","3.667","66.7",".","33.3",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","425","3.346","53.2","17.2","12.7","11.1","3.1","2.1","0.5","",".","",".",".","",".","",".","",".","0.2",".","."
