"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","","38","3.197","26.3","31.6","26.3","2.6","7.9","2.6","2.6",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","203","001","","56","3.836","82.1","10.7","3.6",".",".",".","1.8",".",".",".",".",".","1.8",".",".","."
"The Writings of Vaclav Havel","208","001","","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Masterpieces-Fr Lit & Culture","209","001","","21","3.857","81.0","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chekhov in Translation","220","001","","13","3.577","61.5","23.1","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"V Nabokov: Russ&Amer Writng","223","001","","7","2.643","28.6","28.6",".","14.3",".","14.3","14.3",".",".",".",".",".",".",".",".","."
"Tolstoy in Translation","224","001","","11","3.722","54.5","18.2",".","9.1",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"Intro-Luso-Afro-Brazilian Lit","226","001","","23","3.614","52.2","17.4","21.7","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","","24","3.023","8.3","25.0","37.5","12.5","4.2","4.2",".",".",".",".",".",".",".","4.2",".","4.2"
"Anime","232","001","","48","3.409","20.8","45.8","16.7","4.2","4.2",".",".","4.2",".",".",".",".","2.1","2.1",".","."
"Russian Life&Cult (to 1917)","233","001","","30","3.435","40.0","20.0","16.7","10.0","6.7",".",".","3.3",".",".",".",".","3.3",".",".","."
"The World of Sagas","235","001","","17","3.786","47.1","35.3",".",".",".",".",".",".",".",".",".",".","17.6",".",".","."
"Soviet Lit in Translation","240","001","","10","2.950","20.0",".","40.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Lit & Culture-Eastrn Europe","241","001","","26","3.635","42.3","42.3","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","247","001","","8","3.250","37.5","12.5","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Lit:Image-Indiv Ital Renais","256","001","","23","3.457","30.4","47.8","8.7","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Lits of Muslim Societies-Trans","257","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261","001","","20","3.700","50.0","45.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263","001","","15","3.267","13.3","33.3","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"German Women Writers-Tran","270","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","271","001","","23","3.565","34.8","47.8","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","271","002","","31","3.774","58.1","38.7","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scand LitTran:Mid Ages-1900","","Course Total","","54","3.699","48.1","42.6","7.4","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","275","001","","118","3.282","7.6","54.2","29.7","3.4","3.4","0.8",".",".",".",".",".",".",".",".",".","0.8"
"","275","002","","71","3.289","14.1","43.7","33.8","2.8","5.6",".",".",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","","189","3.285","10.1","50.3","31.2","3.2","4.2","0.5",".",".",".",".",".",".",".",".",".","0.5"
"Topics-20c German Lit(in Tran)","277","001","","11","3.350","54.5","9.1","18.2",".",".",".","9.1","9.1",".",".",".",".",".",".",".","."
"SE Asian Lit in Translation","303","001","","23","3.595","34.8","39.1","17.4",".",".",".",".",".",".",".",".",".","4.3","4.3",".","."
"Scandinavian Children's Lit","319","001","","14","3.615","21.4","71.4",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"In Transl:19C Scand Fiction","337","001","","19","3.094","26.3","10.5","15.8","26.3","10.5",".",".",".",".",".",".",".","10.5",".",".","."
"In Transl:Scand Tale&Ballad","345","001","","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Israeli Fiction-Translation","367","001","","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Class Japanese Prose-Transl","372","001","","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Japanese Lit","373","001","","12","3.409","16.7","41.7","33.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","410","001","","68","3.318","32.4","25.0","16.2","19.1","4.4",".",".","2.9",".",".",".",".",".",".",".","."
"Hist-Serbian & Croatian Lit","454","001","","8","3.313","37.5","25.0","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Polish Lit(Tran) since 1863","473","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
