"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"1","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ Program","Course Total","","4","***","","","","","","","","","","","","","","","",""
"201
Land Surveying Fundamentals","001","","25","3.260","28.0","32.0","20.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"249
Engr Principles-Biol Systms","001","","43","2.872","14.0","23.3","25.6","11.6","20.9","2.3","2.3",".",".",".",".",".",".",".",".","."
"299
Independent Study","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"351
Struct Design-Ag Facilities","001","","12","3.458","41.7","25.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"364
Engr Prop-Food & Biol Matls","001","","55","3.045","5.5","21.8","50.9","20.0","1.8",".",".",".",".",".",".",".",".",".",".","."
"367
Renewable Energy Systems","001","","46","3.467","26.1","54.3","15.2",".","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"372
On-Site Waste Water Treatment","001","","19","3.132","15.8","42.1","15.8","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","18","3.278","38.9","22.2","16.7","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"409
Career Management-Engineers","001","","54","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"460
Biorefining: Energy & Products","001","","12","3.000","8.3","16.7","58.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"473
Irrigatn&Drainage Sys Dsgn","001","","24","3.000","8.3","29.2","29.2","20.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"475
Engr Principles-Ag Machinery","001","","10","3.050","30.0","20.0","10.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"491
Legal Aspects-Engineering","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"509
Biol Sys Eng Dsgn Practicum II","001","","39","3.125","5.1","5.1","7.7",".",".","2.6",".",".",".",".",".",".","79.5",".",".","."
"517
Biology in Engineering Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"671
Topics-Natural Resrces Engr","001","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","2","***","","","","","","","","","","","","","","","",""
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Ag Engr Teaching","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875
Special Topics","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","40","",".",".",".",".",".",".",".","12.5",".",".",".","87.5",".",".",".","."
