"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"469
Interdis Studies in the Arts","001","","6","3.500","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"535
Modern Amer Drama & Theatre","001","","16","3.469","50.0","31.3","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"541
Acting Shakespeare","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Advanced Scene Study","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"561
Backstage Laboratory III","001","","13","3.967","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"563
Costume Design II","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"568
Directing Lab","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"619","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","004","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","005","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","006","","14","3.423","28.6","35.7","21.4",".","7.1",".",".",".",".",".",".",".","7.1",".",".","."
"619","007","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","Course Total","","74","3.827","81.1","9.5","6.8",".","1.4",".",".",".",".",".",".",".","1.4",".",".","."
"681
Senior Honors Thesis","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698
Directed Study","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","3.909","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Prosem: Intro Rsch-Theatre","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Voice Training","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Graduate Stage Movement","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Graduate Acting","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"763
Costume Design III","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.875","42.9","14.3",".",".",".",".",".",".",".",".",".","14.3","28.6",".",".","."
"911","001","","9","3.688","55.6","11.1","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"911","002","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"911","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"911","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Probs in Theatre&Drama","Course Total","","21","3.658","57.1","14.3","14.3",".","4.8",".",".","4.8",".",".",".",".","4.8",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","11","",".",".",".",".",".",".",".","90.9",".",".",".","9.1",".",".",".","."
